asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SGR,2019-05-06,Consumer Services,4010000000.0,4970000000.0,14.81,,,1.53,1.06,1.9,8.62
SGR,2019-05-07,Consumer Services,3980000000.0,4970000000.0,14.71,,,1.52,1.05,1.9,8.62
SGR,2019-05-08,Consumer Services,3980000000.0,4850000000.0,14.71,,,1.52,1.05,1.85,8.42
SGR,2019-05-09,Consumer Services,3980000000.0,4850000000.0,14.71,,,1.52,1.05,1.85,8.42
SGR,2019-05-10,Consumer Services,3990000000.0,4850000000.0,14.75,,,1.52,1.05,1.85,8.42
SGR,2019-05-13,Consumer Services,4010000000.0,4860000000.0,14.81,,,1.53,1.06,1.85,8.43
SGR,2019-05-14,Consumer Services,3970000000.0,4880000000.0,14.68,,,1.52,1.05,1.86,8.47
SGR,2019-05-15,Consumer Services,3970000000.0,4880000000.0,14.68,,,1.52,1.05,1.86,8.47
SGR,2019-05-16,Consumer Services,3990000000.0,4880000000.0,14.75,,,1.52,1.05,1.86,8.47
SGR,2019-05-17,Consumer Services,4010000000.0,4860000000.0,14.81,,,1.53,1.06,1.85,8.43
SGR,2019-05-20,Consumer Services,4040000000.0,4880000000.0,14.92,,,1.54,1.06,1.86,8.47
SGR,2019-05-21,Consumer Services,4020000000.0,4910000000.0,14.85,,,1.53,1.06,1.87,8.51
SGR,2019-05-22,Consumer Services,4050000000.0,4910000000.0,14.98,,,1.55,1.07,1.87,8.51
SGR,2019-05-23,Consumer Services,4120000000.0,4910000000.0,15.22,,,1.57,1.08,1.87,8.51
SGR,2019-05-27,Consumer Services,4100000000.0,4990000000.0,15.15,,,1.56,1.08,1.9,8.66
SGR,2019-05-28,Consumer Services,4070000000.0,4990000000.0,15.05,,,1.55,1.07,1.9,8.66
SGR,2019-05-29,Consumer Services,4080000000.0,4990000000.0,15.08,,,1.56,1.07,1.9,8.66
SGR,2019-05-30,Consumer Services,4120000000.0,4990000000.0,15.22,,,1.57,1.08,1.9,8.66
SGR,2019-06-01,Consumer Services,4100000000.0,4990000000.0,15.15,,,1.56,1.08,1.9,8.66
SGR,2019-06-03,Consumer Services,4000000000.0,4970000000.0,14.78,,,1.53,1.05,1.9,8.62
SGR,2019-06-04,Consumer Services,4040000000.0,4970000000.0,14.92,,,1.54,1.06,1.9,8.62
SGR,2019-06-05,Consumer Services,4080000000.0,4970000000.0,15.08,,,1.56,1.07,1.9,8.62
SGR,2019-06-06,Consumer Services,4080000000.0,4910000000.0,15.08,,,1.56,1.07,1.87,8.51
