asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SHO,2019-05-06,Media & Entertainment,17120000.0,18600000.0,,,,45.92,,49.92,-7.94
SHO,2019-05-07,Media & Entertainment,16090000.0,18600000.0,,,,43.18,,49.92,-7.94
SHO,2019-05-08,Media & Entertainment,15840000.0,18600000.0,,,,42.5,,49.92,-7.94
SHO,2019-05-09,Media & Entertainment,15840000.0,16050000.0,,,,42.5,,43.06,-6.85
SHO,2019-05-10,Media & Entertainment,17880000.0,15790000.0,,,,47.98,,42.38,-6.74
SHO,2019-05-13,Media & Entertainment,17370000.0,17840000.0,,,,46.61,,47.86,-7.62
SHO,2019-05-14,Media & Entertainment,18140000.0,17330000.0,,,,48.66,,46.49,-7.4
SHO,2019-05-15,Media & Entertainment,15840000.0,17330000.0,,,,42.5,,46.49,-7.4
SHO,2019-05-16,Media & Entertainment,15330000.0,17330000.0,,,,41.12,,46.49,-7.4
SHO,2019-05-17,Media & Entertainment,15330000.0,15280000.0,,,,41.12,,41.01,-6.53
SHO,2019-05-20,Media & Entertainment,15840000.0,15280000.0,,,,42.5,,41.01,-6.53
SHO,2019-05-21,Media & Entertainment,15580000.0,15280000.0,,,,41.81,,41.01,-6.53
SHO,2019-05-22,Media & Entertainment,15580000.0,15790000.0,,,,41.81,,42.38,-6.74
SHO,2019-05-23,Media & Entertainment,17630000.0,15790000.0,,,,47.29,,42.38,-6.74
SHO,2019-05-27,Media & Entertainment,15580000.0,15540000.0,,,,41.81,,41.69,-6.64
SHO,2019-05-28,Media & Entertainment,15840000.0,15540000.0,,,,42.5,,41.69,-6.64
SHO,2019-05-29,Media & Entertainment,15840000.0,15540000.0,,,,42.5,,41.69,-6.64
SHO,2019-05-30,Media & Entertainment,16600000.0,15540000.0,,,,44.55,,41.69,-6.64
SHO,2019-06-01,Media & Entertainment,16090000.0,15540000.0,,,,43.18,,41.69,-6.64
SHO,2019-06-03,Media & Entertainment,16090000.0,16050000.0,,,,43.18,,43.06,-6.85
SHO,2019-06-04,Media & Entertainment,18140000.0,16050000.0,,,,48.66,,43.06,-6.85
SHO,2019-06-05,Media & Entertainment,17880000.0,16050000.0,,,,47.98,,43.06,-6.85
SHO,2019-06-06,Media & Entertainment,17370000.0,17840000.0,,,,46.61,,47.86,-7.62
