asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SI6,2019-05-06,Materials,2290000.0,1130000.0,,,,-5704.53,0.26,-2810.85,-0.85
SI6,2019-05-07,Materials,2290000.0,1130000.0,,,,-5704.53,0.26,-2810.85,-0.85
SI6,2019-05-08,Materials,2290000.0,1130000.0,,,,-5704.53,0.26,-2810.85,-0.85
SI6,2019-05-09,Materials,2290000.0,1130000.0,,,,-5704.53,0.26,-2810.85,-0.85
SI6,2019-05-10,Materials,2290000.0,1130000.0,,,,-5704.53,0.26,-2810.85,-0.85
SI6,2019-05-13,Materials,2290000.0,1130000.0,,,,-5704.53,0.26,-2810.85,-0.85
SI6,2019-05-14,Materials,2290000.0,1130000.0,,,,-5704.53,0.26,-2810.85,-0.85
SI6,2019-05-15,Materials,2750000.0,1130000.0,,,,-6845.43,0.32,-2810.85,-0.85
SI6,2019-05-16,Materials,2750000.0,1580000.0,,,,-6845.43,0.32,-3951.75,-1.2
SI6,2019-05-17,Materials,2750000.0,1580000.0,,,,-6845.43,0.32,-3951.75,-1.2
