asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SIL,2019-05-06,Health Care Equipment & Services,9270000.0,27500000.0,,,,0.39,0.29,1.15,-4.03
SIL,2019-05-07,Health Care Equipment & Services,7820000.0,27500000.0,,,,0.33,0.25,1.15,-4.03
SIL,2019-05-08,Health Care Equipment & Services,7820000.0,27500000.0,,,,0.33,0.25,1.15,-4.03
SIL,2019-05-09,Health Care Equipment & Services,8690000.0,26920000.0,,,,0.36,0.28,1.12,-3.95
SIL,2019-05-10,Health Care Equipment & Services,8980000.0,26920000.0,,,,0.37,0.28,1.12,-3.95
SIL,2019-05-13,Health Care Equipment & Services,11010000.0,28080000.0,,,,0.46,0.35,1.17,-4.12
SIL,2019-05-14,Health Care Equipment & Services,11590000.0,28080000.0,,,,0.48,0.37,1.17,-4.12
SIL,2019-05-15,Health Care Equipment & Services,11590000.0,30110000.0,,,,0.48,0.37,1.25,-4.41
SIL,2019-05-16,Health Care Equipment & Services,10140000.0,30110000.0,,,,0.42,0.32,1.25,-4.41
SIL,2019-05-17,Health Care Equipment & Services,10430000.0,29240000.0,,,,0.43,0.33,1.22,-4.29
SIL,2019-05-20,Health Care Equipment & Services,9270000.0,29530000.0,,,,0.39,0.29,1.23,-4.33
SIL,2019-05-21,Health Care Equipment & Services,9270000.0,29530000.0,,,,0.39,0.29,1.23,-4.33
SIL,2019-05-22,Health Care Equipment & Services,9270000.0,28370000.0,,,,0.39,0.29,1.18,-4.16
SIL,2019-05-23,Health Care Equipment & Services,9270000.0,28370000.0,,,,0.39,0.29,1.18,-4.16
SIL,2019-05-27,Health Care Equipment & Services,10430000.0,28370000.0,,,,0.43,0.33,1.18,-4.16
SIL,2019-05-28,Health Care Equipment & Services,9560000.0,28370000.0,,,,0.4,0.3,1.18,-4.16
SIL,2019-05-29,Health Care Equipment & Services,8980000.0,28370000.0,,,,0.37,0.28,1.18,-4.16
SIL,2019-05-30,Health Care Equipment & Services,8980000.0,28370000.0,,,,0.37,0.28,1.18,-4.16
SIL,2019-06-01,Health Care Equipment & Services,8690000.0,28370000.0,,,,0.36,0.28,1.18,-4.16
SIL,2019-06-03,Health Care Equipment & Services,8400000.0,28370000.0,,,,0.35,0.27,1.18,-4.16
SIL,2019-06-04,Health Care Equipment & Services,8110000.0,27500000.0,,,,0.34,0.26,1.15,-4.03
SIL,2019-06-05,Health Care Equipment & Services,8110000.0,27500000.0,,,,0.34,0.26,1.15,-4.03
SIL,2019-06-06,Health Care Equipment & Services,7820000.0,27500000.0,,,,0.33,0.25,1.15,-4.03
