asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SKF,2019-05-06,Software & Services,63210000.0,51290000.0,,,,7.75,8.7,6.28,-36.88
SKF,2019-05-07,Software & Services,56890000.0,51290000.0,,,,6.97,7.83,6.28,-36.88
SKF,2019-05-08,Software & Services,53730000.0,51290000.0,,,,6.58,7.39,6.28,-36.88
SKF,2019-05-09,Software & Services,53730000.0,57880000.0,,,,6.58,7.39,7.09,-41.62
SKF,2019-05-10,Software & Services,58470000.0,57880000.0,,,,7.17,8.04,7.09,-41.62
SKF,2019-05-13,Software & Services,58470000.0,59520000.0,,,,7.17,8.04,7.29,-42.8
SKF,2019-05-14,Software & Services,60050000.0,59520000.0,,,,7.36,8.26,7.29,-42.8
SKF,2019-05-15,Software & Services,58470000.0,59520000.0,,,,7.17,8.04,7.29,-42.8
SKF,2019-05-16,Software & Services,60050000.0,59520000.0,,,,7.36,8.26,7.29,-42.8
SKF,2019-05-17,Software & Services,60050000.0,59520000.0,,,,7.36,8.26,7.29,-42.8
SKF,2019-05-20,Software & Services,56890000.0,61170000.0,,,,6.97,7.83,7.5,-43.99
SKF,2019-05-21,Software & Services,56890000.0,61170000.0,,,,6.97,7.83,7.5,-43.99
SKF,2019-05-22,Software & Services,60050000.0,57880000.0,,,,7.36,8.26,7.09,-41.62
SKF,2019-05-23,Software & Services,56890000.0,57880000.0,,,,6.97,7.83,7.09,-41.62
SKF,2019-06-03,Software & Services,50570000.0,57880000.0,,,,6.2,6.96,7.09,-41.62
SKF,2019-06-04,Software & Services,50570000.0,51290000.0,,,,6.2,6.96,6.28,-36.88
SKF,2019-06-05,Software & Services,50570000.0,51290000.0,,,,6.2,6.96,6.28,-36.88
SKF,2019-06-06,Software & Services,50570000.0,51290000.0,,,,6.2,6.96,6.28,-36.88
