asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SLC,2019-05-06,Communication Services,478740000.0,523000000.0,1890.0,,,3.57,1.14,3.9,22.39
SLC,2019-05-07,Communication Services,488870000.0,523000000.0,1930.0,,,3.64,1.16,3.9,22.39
SLC,2019-05-08,Communication Services,478740000.0,529860000.0,1890.0,,,3.57,1.14,3.95,22.68
SLC,2019-05-09,Communication Services,474940000.0,529860000.0,1875.0,,,3.54,1.13,3.95,22.68
SLC,2019-05-10,Communication Services,471140000.0,529860000.0,1860.0,,,3.51,1.12,3.95,22.68
SLC,2019-05-13,Communication Services,474940000.0,513860000.0,1875.0,,,3.54,1.13,3.83,22.0
SLC,2019-05-14,Communication Services,483800000.0,517290000.0,1910.0,,,3.6,1.15,3.85,22.14
SLC,2019-05-15,Communication Services,487600000.0,517290000.0,1925.0,,,3.63,1.16,3.85,22.14
SLC,2019-05-16,Communication Services,444540000.0,517290000.0,1755.0,,,3.31,1.06,3.85,22.14
SLC,2019-05-17,Communication Services,440740000.0,528720000.0,1740.0,,,3.28,1.05,3.94,22.63
SLC,2019-05-20,Communication Services,442010000.0,486420000.0,1745.0,,,3.29,1.05,3.62,20.82
SLC,2019-05-21,Communication Services,450880000.0,487570000.0,1780.0,,,3.36,1.07,3.63,20.87
SLC,2019-05-22,Communication Services,448340000.0,487570000.0,1770.0,,,3.34,1.07,3.63,20.87
SLC,2019-05-23,Communication Services,438210000.0,487570000.0,1730.0,,,3.26,1.04,3.63,20.87
SLC,2019-05-27,Communication Services,440740000.0,484140000.0,1740.0,,,3.28,1.05,3.61,20.73
SLC,2019-05-28,Communication Services,447080000.0,484140000.0,1765.0,,,3.33,1.06,3.61,20.73
SLC,2019-05-29,Communication Services,443280000.0,484140000.0,1750.0,,,3.3,1.05,3.61,20.73
SLC,2019-05-30,Communication Services,448340000.0,484140000.0,1770.0,,,3.34,1.07,3.61,20.73
SLC,2019-06-01,Telecommunication Services,447080000.0,484140000.0,1765.0,,,3.33,1.06,3.61,20.73
SLC,2019-06-03,Telecommunication Services,428080000.0,492140000.0,1690.0,,,3.19,1.02,3.67,21.07
SLC,2019-06-04,Telecommunication Services,423010000.0,492140000.0,1670.0,,,3.15,1.01,3.67,21.07
SLC,2019-06-05,Telecommunication Services,420480000.0,470420000.0,1660.0,,,3.13,1.0,3.5,20.14
SLC,2019-06-06,Telecommunication Services,400220000.0,470420000.0,1580.0,,,2.98,0.95,3.5,20.14
