asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SMD,2019-05-15,Materials,3180000.0,2830000.0,,,,54.76,0.71,48.71,-3.68
SMD,2019-05-20,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
SMD,2019-05-21,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
SMD,2019-05-22,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
SMD,2019-05-23,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
SMD,2019-05-27,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
SMD,2019-05-28,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
SMD,2019-05-29,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
SMD,2019-05-30,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
SMD,2019-06-01,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
SMD,2019-06-03,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
SMD,2019-06-04,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
SMD,2019-06-05,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
SMD,2019-06-06,Materials,3180000.0,2190000.0,,,,54.76,0.71,37.76,-2.86
