asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SOM,2019-05-13,Health Care Equipment & Services,110220000.0,103200000.0,,,,1.63,5.1,1.53,-14.74
SOM,2019-05-14,Health Care Equipment & Services,112420000.0,103200000.0,,,,1.67,5.2,1.53,-14.74
SOM,2019-05-15,Health Care Equipment & Services,113050000.0,103200000.0,,,,1.68,5.23,1.53,-14.74
SOM,2019-05-16,Health Care Equipment & Services,114620000.0,103200000.0,,,,1.7,5.31,1.53,-14.74
SOM,2019-05-17,Health Care Equipment & Services,113990000.0,107590000.0,,,,1.69,5.28,1.6,-15.37
SOM,2019-05-20,Health Care Equipment & Services,114930000.0,106970000.0,,,,1.7,5.32,1.59,-15.28
SOM,2019-05-21,Health Care Equipment & Services,113990000.0,106970000.0,,,,1.69,5.28,1.59,-15.28
SOM,2019-05-22,Health Care Equipment & Services,113050000.0,106970000.0,,,,1.68,5.23,1.59,-15.28
SOM,2019-05-23,Health Care Equipment & Services,110540000.0,106970000.0,,,,1.64,5.12,1.59,-15.28
SOM,2019-05-27,Health Care Equipment & Services,109910000.0,106970000.0,,,,1.63,5.09,1.59,-15.28
SOM,2019-05-28,Health Care Equipment & Services,105200000.0,106970000.0,,,,1.56,4.87,1.59,-15.28
SOM,2019-05-29,Health Care Equipment & Services,104880000.0,106970000.0,,,,1.55,4.85,1.59,-15.28
SOM,2019-05-30,Health Care Equipment & Services,104880000.0,106970000.0,,,,1.55,4.85,1.59,-15.28
SOM,2019-06-01,Health Care Equipment & Services,109910000.0,106970000.0,,,,1.63,5.09,1.59,-15.28
SOM,2019-06-03,Health Care Equipment & Services,105830000.0,106970000.0,,,,1.57,4.9,1.59,-15.28
SOM,2019-06-04,Health Care Equipment & Services,105830000.0,98800000.0,,,,1.57,4.9,1.46,-14.12
SOM,2019-06-05,Health Care Equipment & Services,106450000.0,98800000.0,,,,1.58,4.93,1.46,-14.12
SOM,2019-06-06,Health Care Equipment & Services,106140000.0,99430000.0,,,,1.57,4.91,1.47,-14.21
