asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SOR,2019-05-13,Diversified Financials,7910000.0,4890000.0,,,,-126.55,2.67,-78.24,-3.42
SOR,2019-05-14,Diversified Financials,7910000.0,4890000.0,,,,-126.55,2.67,-78.24,-3.42
SOR,2019-05-15,Diversified Financials,7660000.0,4890000.0,,,,-122.6,2.58,-78.24,-3.42
SOR,2019-05-16,Diversified Financials,7910000.0,4640000.0,,,,-126.55,2.67,-74.28,-3.25
SOR,2019-05-17,Diversified Financials,7660000.0,4640000.0,,,,-122.6,2.58,-74.28,-3.25
SOR,2019-05-20,Diversified Financials,7910000.0,4640000.0,,,,-126.55,2.67,-74.28,-3.25
SOR,2019-05-21,Diversified Financials,8160000.0,4640000.0,,,,-130.51,2.75,-74.28,-3.25
SOR,2019-05-22,Diversified Financials,8160000.0,4640000.0,,,,-130.51,2.75,-74.28,-3.25
SOR,2019-05-23,Diversified Financials,8900000.0,4640000.0,,,,-142.37,3.0,-74.28,-3.25
SOR,2019-05-27,Diversified Financials,8900000.0,5880000.0,,,,-142.37,3.0,-94.06,-4.11
SOR,2019-05-28,Diversified Financials,8900000.0,5880000.0,,,,-142.37,3.0,-94.06,-4.11
SOR,2019-05-29,Diversified Financials,8900000.0,5880000.0,,,,-142.37,3.0,-94.06,-4.11
SOR,2019-05-30,Diversified Financials,8900000.0,5880000.0,,,,-142.37,3.0,-94.06,-4.11
SOR,2019-06-01,Diversified Financials,8900000.0,5880000.0,,,,-142.37,3.0,-94.06,-4.11
SOR,2019-06-03,Diversified Financials,8410000.0,5880000.0,,,,-134.46,2.83,-94.06,-4.11
SOR,2019-06-04,Diversified Financials,7910000.0,5880000.0,,,,-126.55,2.67,-94.06,-4.11
SOR,2019-06-05,Diversified Financials,7170000.0,4890000.0,,,,-114.69,2.42,-78.24,-3.42
SOR,2019-06-06,Diversified Financials,7420000.0,4890000.0,,,,-118.64,2.5,-78.24,-3.42
