asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SRS,2019-05-06,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-07,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-08,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-09,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-10,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-13,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-14,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-15,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-16,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-17,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-20,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-21,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-22,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-05-23,Capital Goods,143990000.0,101220000.0,,,,0.37,0.97,0.26,7.93
SRS,2019-05-27,Capital Goods,141930000.0,101220000.0,,,,0.36,0.96,0.26,7.93
SRS,2019-05-28,Capital Goods,143990000.0,101220000.0,,,,0.37,0.97,0.26,7.93
SRS,2019-05-29,Capital Goods,141930000.0,101220000.0,,,,0.36,0.96,0.26,7.93
SRS,2019-05-30,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-06-01,Capital Goods,139870000.0,101220000.0,,,,0.36,0.94,0.26,7.93
SRS,2019-06-03,Capital Goods,141930000.0,101220000.0,,,,0.36,0.96,0.26,7.93
SRS,2019-06-04,Capital Goods,141930000.0,101220000.0,,,,0.36,0.96,0.26,7.93
SRS,2019-06-05,Capital Goods,141930000.0,101220000.0,,,,0.36,0.96,0.26,7.93
SRS,2019-06-06,Capital Goods,141930000.0,103270000.0,,,,0.36,0.96,0.26,8.09
