asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SVD,2019-05-06,Materials,3870000.0,-273460.0,,,,,0.65,,
SVD,2019-05-07,Materials,3520000.0,-273460.0,,,,,0.59,,
SVD,2019-05-08,Materials,3870000.0,-977200.0,,,,,0.65,,
SVD,2019-05-09,Materials,3870000.0,-977200.0,,,,,0.65,,
SVD,2019-05-10,Materials,3870000.0,-625330.0,,,,,0.65,,
SVD,2019-05-13,Materials,3870000.0,-625330.0,,,,,0.65,,
SVD,2019-05-14,Materials,3870000.0,-625330.0,,,,,0.65,,
SVD,2019-05-15,Materials,3870000.0,-625330.0,,,,,0.65,,
SVD,2019-05-16,Materials,3870000.0,-625330.0,,,,,0.65,,
SVD,2019-05-17,Materials,3870000.0,-625330.0,,,,,0.65,,
SVD,2019-05-27,Materials,3870000.0,-625330.0,,,,,0.65,,
SVD,2019-05-28,Materials,2810000.0,-625330.0,,,,,0.47,,
SVD,2019-05-29,Materials,2810000.0,-625330.0,,,,,0.47,,
SVD,2019-05-30,Materials,3520000.0,-625330.0,,,,,0.59,,
SVD,2019-06-01,Materials,3520000.0,-625330.0,,,,,0.59,,
SVD,2019-06-03,Materials,3520000.0,-977200.0,,,,,0.59,,
SVD,2019-06-04,Materials,3170000.0,-977200.0,,,,,0.53,,
SVD,2019-06-05,Materials,3170000.0,-977200.0,,,,,0.53,,
SVD,2019-06-06,Materials,3170000.0,-1330000.0,,,,,0.53,,
