asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SVM,2019-05-13,Materials,28380000.0,20740000.0,,,,353.67,2.82,258.4,-3.66
SVM,2019-05-14,Materials,27660000.0,20740000.0,,,,344.72,2.75,258.4,-3.66
SVM,2019-05-15,Materials,28380000.0,20740000.0,,,,353.67,2.82,258.4,-3.66
SVM,2019-05-16,Materials,27660000.0,20740000.0,,,,344.72,2.75,258.4,-3.66
SVM,2019-05-17,Materials,28020000.0,20740000.0,,,,349.2,2.79,258.4,-3.66
SVM,2019-05-20,Materials,28020000.0,20460000.0,,,,349.2,2.79,254.95,-3.62
SVM,2019-05-21,Materials,27300000.0,20460000.0,,,,340.24,2.71,254.95,-3.62
SVM,2019-05-22,Materials,27300000.0,20460000.0,,,,340.24,2.71,254.95,-3.62
SVM,2019-05-23,Materials,28740000.0,20460000.0,,,,358.15,2.86,254.95,-3.62
SVM,2019-05-27,Materials,29820000.0,20460000.0,,,,371.58,2.96,254.95,-3.62
SVM,2019-05-28,Materials,30540000.0,20460000.0,,,,380.53,3.04,254.95,-3.62
SVM,2019-05-29,Materials,32330000.0,20460000.0,,,,402.92,3.21,254.95,-3.62
SVM,2019-05-30,Materials,33050000.0,20460000.0,,,,411.87,3.29,254.95,-3.62
SVM,2019-06-01,Materials,34490000.0,20460000.0,,,,429.78,3.43,254.95,-3.62
SVM,2019-06-03,Materials,37720000.0,20460000.0,,,,470.07,3.75,254.95,-3.62
SVM,2019-06-04,Materials,35930000.0,27940000.0,,,,447.69,3.57,348.11,-4.94
SVM,2019-06-05,Materials,35570000.0,27940000.0,,,,443.21,3.54,348.11,-4.94
SVM,2019-06-06,Materials,34490000.0,27940000.0,,,,429.78,3.43,348.11,-4.94
