asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SXA,2019-05-06,Energy,6150000.0,4990000.0,,,,170.87,2.46,138.83,-5.93
SXA,2019-05-07,Energy,6150000.0,4990000.0,,,,170.87,2.46,138.83,-5.93
SXA,2019-05-08,Energy,6150000.0,4990000.0,,,,170.87,2.46,138.83,-5.93
SXA,2019-05-09,Energy,5200000.0,4990000.0,,,,144.58,2.46,138.83,-5.93
SXA,2019-05-10,Energy,5200000.0,4990000.0,,,,144.58,2.46,138.83,-5.93
SXA,2019-05-15,Energy,5320000.0,4990000.0,,,,147.87,2.31,138.83,-5.93
SXA,2019-05-20,Energy,6150000.0,4990000.0,,,,170.88,2.5,138.77,-5.91
SXA,2019-05-21,Energy,6150000.0,4990000.0,,,,170.88,2.5,138.77,-5.91
SXA,2019-05-22,Energy,6150000.0,4990000.0,,,,170.88,2.5,138.77,-5.91
SXA,2019-05-23,Energy,5670000.0,4990000.0,,,,157.73,2.5,138.77,-5.91
SXA,2019-05-27,Energy,5670000.0,4990000.0,,,,157.73,2.5,138.77,-5.91
SXA,2019-05-28,Energy,5430000.0,4990000.0,,,,150.94,2.21,138.77,-5.91
SXA,2019-05-29,Energy,6150000.0,4990000.0,,,,170.88,2.5,138.77,-5.91
SXA,2019-05-30,Energy,6560000.0,4990000.0,,,,182.27,2.67,138.77,-5.91
SXA,2019-06-01,Energy,6150000.0,4990000.0,,,,170.88,2.5,138.77,-5.91
SXA,2019-06-03,Energy,6620000.0,4990000.0,,,,184.02,2.5,138.77,-5.91
SXA,2019-06-04,Energy,7060000.0,4990000.0,,,,196.29,2.67,138.77,-5.91
SXA,2019-06-05,Energy,7060000.0,4990000.0,,,,196.29,2.67,138.77,-5.91
SXA,2019-06-06,Energy,6620000.0,4990000.0,,,,184.02,2.67,138.77,-5.91
