asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
TGM,2019-05-06,Materials,38040000.0,40040000.0,,,,,6.56,,-10.19
TGM,2019-05-07,Materials,38040000.0,40040000.0,,,,,6.56,,-10.19
TGM,2019-05-08,Materials,38040000.0,40040000.0,,,,,6.56,,-10.19
TGM,2019-05-09,Materials,38040000.0,40040000.0,,,,,6.56,,-10.19
TGM,2019-05-10,Materials,38040000.0,40040000.0,,,,,6.56,,-10.19
TGM,2019-05-13,Materials,38040000.0,40040000.0,,,,,6.56,,-10.19
TGM,2019-05-14,Materials,43470000.0,40040000.0,,,,,7.5,,-10.19
TGM,2019-05-15,Materials,43470000.0,40040000.0,,,,,7.5,,-10.19
TGM,2019-05-16,Materials,47090000.0,40040000.0,,,,,8.12,,-10.19
TGM,2019-05-17,Materials,47090000.0,40040000.0,,,,,8.12,,-10.19
TGM,2019-05-20,Materials,54340000.0,48390000.0,,,,,9.38,,-12.32
TGM,2019-05-21,Materials,50720000.0,48390000.0,,,,,8.75,,-12.32
TGM,2019-05-22,Materials,57960000.0,48390000.0,,,,,10.0,,-12.32
TGM,2019-05-23,Materials,57210000.0,48390000.0,,,,,9.38,,-12.32
TGM,2019-05-27,Materials,64840000.0,48390000.0,,,,,10.62,,-12.32
TGM,2019-05-28,Materials,62930000.0,48390000.0,,,,,10.31,,-12.32
TGM,2019-05-29,Materials,61020000.0,48390000.0,,,,,10.0,,-12.32
TGM,2019-05-30,Materials,61020000.0,48390000.0,,,,,10.0,,-12.32
TGM,2019-06-01,Materials,61020000.0,48390000.0,,,,,10.0,,-12.32
TGM,2019-06-03,Materials,59120000.0,48390000.0,,,,,9.69,,-12.32
TGM,2019-06-04,Materials,59120000.0,56730000.0,,,,,9.69,,-14.44
TGM,2019-06-05,Materials,57210000.0,56730000.0,,,,,9.38,,-14.44
TGM,2019-06-06,Materials,57210000.0,56730000.0,,,,,9.38,,-14.44
