asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
TKL,2019-05-06,Materials,3640000.0,2680000.0,,,,115.44,3.67,84.95,-2.1
TKL,2019-05-07,Materials,3640000.0,2680000.0,,,,115.44,3.67,84.95,-2.1
TKL,2019-05-08,Materials,3640000.0,2680000.0,,,,115.44,3.67,84.95,-2.1
TKL,2019-05-09,Materials,4310000.0,2680000.0,,,,136.43,4.33,84.95,-2.1
TKL,2019-05-10,Materials,4970000.0,2680000.0,,,,157.42,5.0,84.95,-2.1
TKL,2019-05-13,Materials,4970000.0,4010000.0,,,,157.42,5.0,126.93,-3.14
TKL,2019-05-14,Materials,4640000.0,4010000.0,,,,146.93,4.67,126.93,-3.14
TKL,2019-05-15,Materials,4640000.0,4010000.0,,,,146.93,4.67,126.93,-3.14
TKL,2019-05-16,Materials,4310000.0,4010000.0,,,,136.43,4.33,126.93,-3.14
TKL,2019-05-17,Materials,3980000.0,4010000.0,,,,125.94,4.0,126.93,-3.14
TKL,2019-05-20,Materials,3980000.0,3010000.0,,,,125.94,4.0,95.44,-2.36
TKL,2019-05-21,Materials,3980000.0,3010000.0,,,,125.94,4.0,95.44,-2.36
TKL,2019-05-22,Materials,3980000.0,3010000.0,,,,125.94,4.0,95.44,-2.36
TKL,2019-05-23,Materials,3980000.0,3010000.0,,,,125.94,4.0,95.44,-2.36
TKL,2019-06-03,Materials,3980000.0,3010000.0,,,,125.94,4.0,95.44,-2.36
TKL,2019-06-04,Materials,3980000.0,3010000.0,,,,125.94,4.0,95.44,-2.36
TKL,2019-06-05,Materials,3980000.0,3010000.0,,,,125.94,4.0,95.44,-2.36
TKL,2019-06-06,Materials,4310000.0,3010000.0,,,,136.43,4.33,95.44,-2.36
