asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
TLT,2019-05-13,Utilities,,,,,,,,,
TLT,2019-05-14,Utilities,,,,,,,,,
TLT,2019-05-15,Utilities,,,,,,,,,
TLT,2019-05-16,Utilities,,,,,,,,,
TLT,2019-05-17,Utilities,,,,,,,,,
TLT,2019-05-20,Utilities,,,,,,,,,
TLT,2019-05-21,Utilities,,,,,,,,,
TLT,2019-05-22,Utilities,,,,,,,,,
TLT,2019-05-23,Utilities,,,,,,,,,
TLT,2019-05-27,Utilities,,,,,,,,,
TLT,2019-05-28,Utilities,,,,,,,,,
TLT,2019-05-29,Utilities,,,,,,,,,
TLT,2019-05-30,Utilities,,,,,,,,,
TLT,2019-06-01,Utilities,,,,,,,,,
