asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
TNG,2019-05-06,Materials,105980000.0,89240000.0,,,,158.89,2.56,133.79,-24.22
TNG,2019-05-07,Materials,101160000.0,89240000.0,,,,151.67,2.44,133.79,-24.22
TNG,2019-05-08,Materials,105980000.0,84420000.0,,,,158.89,2.56,126.57,-22.92
TNG,2019-05-09,Materials,101160000.0,84420000.0,,,,151.67,2.44,126.57,-22.92
TNG,2019-05-10,Materials,96350000.0,84420000.0,,,,144.45,2.33,126.57,-22.92
TNG,2019-05-13,Materials,120430000.0,79600000.0,,,,180.56,2.91,119.34,-21.61
TNG,2019-05-14,Materials,105980000.0,103690000.0,,,,158.89,2.56,155.46,-28.15
TNG,2019-05-15,Materials,115620000.0,103690000.0,,,,173.34,2.79,155.46,-28.15
TNG,2019-05-16,Materials,120430000.0,103690000.0,,,,180.56,2.91,155.46,-28.15
TNG,2019-05-17,Materials,115620000.0,103690000.0,,,,173.34,2.79,155.46,-28.15
TNG,2019-05-20,Materials,115620000.0,98870000.0,,,,173.34,2.79,148.23,-26.84
TNG,2019-05-21,Materials,110800000.0,98870000.0,,,,166.12,2.67,148.23,-26.84
TNG,2019-05-22,Materials,110800000.0,98870000.0,,,,166.12,2.67,148.23,-26.84
TNG,2019-05-23,Materials,110800000.0,98870000.0,,,,166.12,2.67,148.23,-26.84
TNG,2019-05-27,Materials,110800000.0,94050000.0,,,,166.12,2.67,141.01,-25.53
TNG,2019-05-28,Materials,105980000.0,94050000.0,,,,158.89,2.56,141.01,-25.53
TNG,2019-05-29,Materials,105980000.0,94050000.0,,,,158.89,2.56,141.01,-25.53
TNG,2019-05-30,Materials,101160000.0,94050000.0,,,,151.67,2.44,141.01,-25.53
TNG,2019-06-01,Materials,101160000.0,94050000.0,,,,151.67,2.44,141.01,-25.53
TNG,2019-06-03,Materials,96350000.0,84420000.0,,,,144.45,2.33,126.57,-22.92
TNG,2019-06-04,Materials,96350000.0,84420000.0,,,,144.45,2.33,126.57,-22.92
TNG,2019-06-05,Materials,101160000.0,84420000.0,,,,151.67,2.44,126.57,-22.92
TNG,2019-06-06,Materials,101160000.0,79600000.0,,,,151.67,2.44,119.34,-21.61
