asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
TNR,2019-05-06,Materials,3050000.0,3070000.0,,,,,0.14,,-2.49
TNR,2019-05-07,Materials,3050000.0,3070000.0,,,,,0.14,,-2.49
TNR,2019-05-08,Materials,2800000.0,3070000.0,,,,,0.13,,-2.49
TNR,2019-05-09,Materials,2800000.0,3070000.0,,,,,0.13,,-2.49
TNR,2019-05-10,Materials,3560000.0,3070000.0,,,,,0.16,,-2.49
TNR,2019-05-13,Materials,3560000.0,3580000.0,,,,,0.16,,-2.91
TNR,2019-05-14,Materials,3560000.0,3580000.0,,,,,0.16,,-2.91
TNR,2019-05-15,Materials,3560000.0,3580000.0,,,,,0.16,,-2.91
TNR,2019-05-16,Materials,3560000.0,3580000.0,,,,,0.16,,-2.91
TNR,2019-05-17,Materials,3560000.0,3580000.0,,,,,0.16,,-2.91
TNR,2019-06-03,Materials,3820000.0,3580000.0,,,,,0.17,,-2.91
TNR,2019-06-04,Materials,2800000.0,3830000.0,,,,,0.13,,-3.11
TNR,2019-06-05,Materials,3050000.0,3830000.0,,,,,0.14,,-3.11
TNR,2019-06-06,Materials,3050000.0,3830000.0,,,,,0.14,,-3.11
