asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
TOE,2019-05-06,Energy,52130000.0,60820000.0,,,,674.13,1.09,786.41,-62.47
TOE,2019-05-07,Energy,52130000.0,60820000.0,,,,674.13,1.09,786.41,-62.47
TOE,2019-05-08,Energy,52130000.0,60820000.0,,,,674.13,1.09,786.41,-62.47
TOE,2019-05-09,Energy,49960000.0,60820000.0,,,,646.04,1.05,786.41,-62.47
TOE,2019-05-10,Energy,47790000.0,60820000.0,,,,617.95,1.0,786.41,-62.47
TOE,2019-05-13,Energy,45620000.0,56500000.0,,,,589.86,0.95,730.51,-58.03
TOE,2019-05-14,Energy,45620000.0,56500000.0,,,,589.86,0.95,730.51,-58.03
TOE,2019-05-15,Energy,47790000.0,54330000.0,,,,617.95,1.0,702.57,-55.81
TOE,2019-05-16,Energy,45620000.0,56500000.0,,,,589.86,0.95,730.51,-58.03
TOE,2019-05-17,Energy,47790000.0,54330000.0,,,,617.95,1.0,702.57,-55.81
TOE,2019-05-20,Energy,47790000.0,56500000.0,,,,617.95,1.0,730.51,-58.03
TOE,2019-05-21,Energy,47790000.0,56500000.0,,,,617.95,1.0,730.51,-58.03
TOE,2019-05-22,Energy,47790000.0,56500000.0,,,,617.95,1.0,730.51,-58.03
TOE,2019-05-23,Energy,45620000.0,56500000.0,,,,589.86,0.95,730.51,-58.03
TOE,2019-05-27,Energy,45620000.0,56500000.0,,,,589.86,0.95,730.51,-58.03
TOE,2019-05-28,Energy,43450000.0,56500000.0,,,,561.77,0.91,730.51,-58.03
TOE,2019-05-29,Energy,45620000.0,56500000.0,,,,589.86,0.95,730.51,-58.03
TOE,2019-05-30,Energy,45620000.0,56500000.0,,,,589.86,0.95,730.51,-58.03
TOE,2019-06-01,Energy,43450000.0,56500000.0,,,,561.77,0.91,730.51,-58.03
TOE,2019-06-03,Energy,45620000.0,56500000.0,,,,589.86,0.95,730.51,-58.03
TOE,2019-06-04,Energy,45620000.0,54330000.0,,,,589.86,0.95,702.57,-55.81
TOE,2019-06-05,Energy,49960000.0,54330000.0,,,,646.04,1.05,702.57,-55.81
TOE,2019-06-06,Energy,47790000.0,54330000.0,,,,617.95,1.0,702.57,-55.81
