asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
TPD,2019-05-13,Energy,3350000.0,1620000.0,,,,27.05,1.0,13.08,-2.12
TPD,2019-05-14,Energy,5030000.0,1620000.0,,,,40.58,1.5,13.08,-2.12
TPD,2019-05-15,Energy,5030000.0,992010.0,,,,40.58,1.5,8.0,-1.29
TPD,2019-05-16,Energy,5030000.0,992010.0,,,,40.58,1.5,8.0,-1.29
TPD,2019-05-17,Energy,5030000.0,992010.0,,,,40.58,1.5,8.0,-1.29
TPD,2019-05-20,Energy,5030000.0,1620000.0,,,,40.58,1.5,13.08,-2.12
TPD,2019-05-21,Energy,5030000.0,1620000.0,,,,40.58,1.5,13.08,-2.12
TPD,2019-05-22,Energy,5030000.0,1620000.0,,,,40.58,1.5,13.08,-2.12
TPD,2019-05-23,Energy,5030000.0,1620000.0,,,,40.58,1.5,13.08,-2.12
TPD,2019-06-03,Energy,5330000.0,1620000.0,,,,43.0,1.5,13.08,-2.12
TPD,2019-06-04,Energy,5330000.0,1620000.0,,,,43.0,1.5,13.08,-2.12
TPD,2019-06-05,Energy,5330000.0,1620000.0,,,,43.0,1.5,13.08,-2.12
TPD,2019-06-06,Energy,3550000.0,1620000.0,,,,28.66,1.0,13.08,-2.12
