asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
TRT,2019-05-06,Materials,9840000.0,4850000.0,,,,185.74,0.6,91.55,-2.53
TRT,2019-05-07,Materials,9390000.0,4850000.0,,,,177.17,0.57,91.55,-2.53
TRT,2019-05-08,Materials,9840000.0,4850000.0,,,,185.74,0.6,91.55,-2.53
TRT,2019-05-09,Materials,9840000.0,5160000.0,,,,185.74,0.6,97.27,-2.68
TRT,2019-05-10,Materials,9240000.0,5160000.0,,,,174.31,0.56,97.27,-2.68
TRT,2019-05-13,Materials,8030000.0,4550000.0,,,,151.45,0.49,85.84,-2.37
TRT,2019-05-14,Materials,7570000.0,4550000.0,,,,142.88,0.46,85.84,-2.37
TRT,2019-05-15,Materials,7720000.0,3340000.0,,,,145.73,0.47,62.98,-1.74
TRT,2019-05-16,Materials,7880000.0,3340000.0,,,,148.59,0.48,62.98,-1.74
TRT,2019-05-17,Materials,7880000.0,3340000.0,,,,148.59,0.48,62.98,-1.74
TRT,2019-05-20,Materials,8030000.0,3190000.0,,,,151.45,0.49,60.12,-1.66
TRT,2019-05-21,Materials,8030000.0,3190000.0,,,,151.45,0.49,60.12,-1.66
TRT,2019-05-22,Materials,8030000.0,3190000.0,,,,151.45,0.49,60.12,-1.66
TRT,2019-05-23,Materials,7720000.0,3190000.0,,,,145.73,0.47,60.12,-1.66
TRT,2019-06-03,Materials,7420000.0,3190000.0,,,,140.02,0.45,60.12,-1.66
TRT,2019-06-04,Materials,7570000.0,2730000.0,,,,142.88,0.46,51.55,-1.42
TRT,2019-06-05,Materials,7570000.0,2730000.0,,,,142.88,0.46,51.55,-1.42
TRT,2019-06-06,Materials,7880000.0,2730000.0,,,,148.59,0.48,51.55,-1.42
