asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
UTR,2019-05-06,Capital Goods,4690000.0,3680000.0,,,,109.96,1.67,86.42,-1.37
UTR,2019-05-07,Capital Goods,4690000.0,3680000.0,,,,109.96,1.67,86.42,-1.37
UTR,2019-05-08,Capital Goods,4690000.0,3680000.0,,,,109.96,1.67,86.42,-1.37
UTR,2019-05-09,Capital Goods,3750000.0,3680000.0,,,,87.97,1.33,86.42,-1.37
UTR,2019-05-10,Capital Goods,3750000.0,3680000.0,,,,87.97,1.33,86.42,-1.37
UTR,2019-05-13,Capital Goods,3750000.0,2750000.0,,,,87.97,1.33,64.44,-1.02
UTR,2019-05-14,Capital Goods,3750000.0,2750000.0,,,,87.97,1.33,64.44,-1.02
UTR,2019-05-15,Capital Goods,2810000.0,2750000.0,,,,65.98,1.0,64.44,-1.02
UTR,2019-05-16,Capital Goods,2810000.0,2750000.0,,,,65.98,1.0,64.44,-1.02
UTR,2019-05-17,Capital Goods,2810000.0,2750000.0,,,,65.98,1.0,64.44,-1.02
UTR,2019-05-27,Capital Goods,3220000.0,2280000.0,,,,75.54,1.0,53.45,-0.85
UTR,2019-05-28,Capital Goods,3220000.0,2280000.0,,,,75.54,1.0,53.45,-0.85
UTR,2019-05-29,Capital Goods,3220000.0,2280000.0,,,,75.54,1.0,53.45,-0.85
UTR,2019-05-30,Capital Goods,3220000.0,2280000.0,,,,75.54,1.0,53.45,-0.85
UTR,2019-06-01,Capital Goods,3220000.0,2280000.0,,,,75.54,1.0,53.45,-0.85
UTR,2019-06-03,Capital Goods,3220000.0,2280000.0,,,,75.54,1.0,53.45,-0.85
UTR,2019-06-04,Capital Goods,2150000.0,1810000.0,,,,50.36,0.67,42.46,-0.68
UTR,2019-06-05,Capital Goods,2150000.0,1810000.0,,,,50.36,0.67,42.46,-0.68
UTR,2019-06-06,Capital Goods,3220000.0,1810000.0,,,,75.54,1.0,42.46,-0.68
