asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
UWL,2019-05-06,Communication Services,99580000.0,42150000.0,,,,18.17,,7.69,-6.23
UWL,2019-05-07,Communication Services,99580000.0,42150000.0,,,,18.17,,7.69,-6.23
UWL,2019-05-08,Communication Services,100890000.0,42150000.0,,,,18.41,,7.69,-6.23
UWL,2019-05-09,Communication Services,107440000.0,49240000.0,,,,19.6,,8.98,-7.28
UWL,2019-05-10,Communication Services,112030000.0,49240000.0,,,,20.44,,8.98,-7.28
UWL,2019-05-13,Communication Services,125780000.0,53130000.0,,,,22.95,,9.69,-7.85
UWL,2019-05-14,Communication Services,117920000.0,53130000.0,,,,21.51,,9.69,-7.85
UWL,2019-05-15,Communication Services,127750000.0,57930000.0,,,,23.31,,10.57,-8.56
UWL,2019-05-16,Communication Services,128400000.0,57930000.0,,,,23.43,,10.57,-8.56
UWL,2019-05-17,Communication Services,125780000.0,57930000.0,,,,22.95,,10.57,-8.56
UWL,2019-05-20,Communication Services,125130000.0,57930000.0,,,,22.83,,10.57,-8.56
UWL,2019-05-21,Communication Services,125780000.0,57930000.0,,,,22.95,,10.57,-8.56
UWL,2019-05-22,Communication Services,134300000.0,57930000.0,,,,24.5,,10.57,-8.56
UWL,2019-05-23,Communication Services,147400000.0,57930000.0,,,,26.89,,10.57,-8.56
UWL,2019-05-27,Communication Services,136920000.0,57930000.0,,,,24.98,,10.57,-8.56
UWL,2019-05-28,Communication Services,161160000.0,57930000.0,,,,29.4,,10.57,-8.56
UWL,2019-05-29,Communication Services,152640000.0,57930000.0,,,,27.85,,10.57,-8.56
UWL,2019-05-30,Communication Services,157230000.0,57930000.0,,,,28.69,,10.57,-8.56
UWL,2019-06-01,Telecommunication Services,153300000.0,57930000.0,,,,27.97,,10.57,-8.56
UWL,2019-06-03,Telecommunication Services,167930000.0,57930000.0,,,,30.64,,10.57,-8.56
UWL,2019-06-04,Telecommunication Services,169390000.0,66620000.0,,,,30.9,,12.15,-9.85
UWL,2019-06-05,Telecommunication Services,175230000.0,66620000.0,,,,31.97,,12.15,-9.85
UWL,2019-06-06,Telecommunication Services,149820000.0,66620000.0,,,,27.33,,12.15,-9.85
