asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
VHT,2019-05-06,Health Care Equipment & Services,303860000.0,307300000.0,,,,,21.67,,
VHT,2019-05-07,Health Care Equipment & Services,305660000.0,307300000.0,,,,,21.79,,
VHT,2019-05-08,Health Care Equipment & Services,307460000.0,307300000.0,,,,,21.92,,
VHT,2019-05-09,Health Care Equipment & Services,303860000.0,306400000.0,,,,,21.67,,
VHT,2019-05-10,Health Care Equipment & Services,293070000.0,306400000.0,,,,,20.9,,
VHT,2019-05-13,Health Care Equipment & Services,302960000.0,292070000.0,,,,,21.6,,
VHT,2019-05-14,Health Care Equipment & Services,294870000.0,292070000.0,,,,,21.03,,
VHT,2019-05-15,Health Care Equipment & Services,289480000.0,301920000.0,,,,,20.64,,
VHT,2019-05-16,Health Care Equipment & Services,293070000.0,301920000.0,,,,,20.9,,
VHT,2019-05-17,Health Care Equipment & Services,286780000.0,301920000.0,,,,,20.45,,
VHT,2019-05-20,Health Care Equipment & Services,302960000.0,285800000.0,,,,,21.6,,
VHT,2019-05-21,Health Care Equipment & Services,310160000.0,285800000.0,,,,,22.12,,
VHT,2019-05-22,Health Care Equipment & Services,328140000.0,285800000.0,,,,,23.4,,
VHT,2019-05-23,Health Care Equipment & Services,329030000.0,285800000.0,,,,,23.46,,
VHT,2019-05-27,Health Care Equipment & Services,328140000.0,285800000.0,,,,,23.4,,
VHT,2019-05-28,Health Care Equipment & Services,319140000.0,285800000.0,,,,,22.76,,
VHT,2019-05-29,Health Care Equipment & Services,312850000.0,285800000.0,,,,,22.31,,
VHT,2019-05-30,Health Care Equipment & Services,332630000.0,285800000.0,,,,,23.72,,
VHT,2019-06-01,Health Care Equipment & Services,332630000.0,285800000.0,,,,,23.72,,
VHT,2019-06-03,Health Care Equipment & Services,332630000.0,285800000.0,,,,,23.72,,
VHT,2019-06-04,Health Care Equipment & Services,332630000.0,303990000.0,,,,,23.72,,
VHT,2019-06-05,Health Care Equipment & Services,302060000.0,303990000.0,,,,,21.54,,
VHT,2019-06-06,Health Care Equipment & Services,334430000.0,303990000.0,,,,,23.85,,
