asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
VIC,2019-05-13,Materials,3680000.0,2990000.0,,,,129.8,3.0,105.43,-3.58
VIC,2019-05-14,Materials,2450000.0,2990000.0,,,,86.53,2.0,105.43,-3.58
VIC,2019-05-15,Materials,2450000.0,3600000.0,,,,86.53,2.0,127.06,-4.31
VIC,2019-05-16,Materials,2450000.0,3600000.0,,,,86.53,2.0,127.06,-4.31
VIC,2019-05-17,Materials,2450000.0,3600000.0,,,,86.53,2.0,127.06,-4.31
VIC,2019-05-20,Materials,2450000.0,2990000.0,,,,86.53,2.0,105.43,-3.58
VIC,2019-05-21,Materials,2450000.0,2990000.0,,,,86.53,2.0,105.43,-3.58
VIC,2019-05-22,Materials,2450000.0,2990000.0,,,,86.53,2.0,105.43,-3.58
VIC,2019-05-23,Materials,2450000.0,2990000.0,,,,86.53,2.0,105.43,-3.58
VIC,2019-05-27,Materials,2450000.0,2990000.0,,,,86.53,2.0,105.43,-3.58
VIC,2019-05-28,Materials,2450000.0,2990000.0,,,,86.53,2.0,105.43,-3.58
VIC,2019-05-29,Materials,2450000.0,2990000.0,,,,86.53,2.0,105.43,-3.58
VIC,2019-05-30,Materials,2450000.0,2990000.0,,,,86.53,2.0,105.43,-3.58
VIC,2019-06-01,Materials,2450000.0,2990000.0,,,,86.53,2.0,105.43,-3.58
VIC,2019-06-03,Materials,3680000.0,2990000.0,,,,129.8,3.0,105.43,-3.58
VIC,2019-06-04,Materials,2450000.0,3600000.0,,,,86.53,2.0,127.06,-4.31
VIC,2019-06-05,Materials,2450000.0,3600000.0,,,,86.53,2.0,127.06,-4.31
VIC,2019-06-06,Materials,2450000.0,3600000.0,,,,86.53,2.0,127.06,-4.31
