asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
VLS,2019-05-06,"Pharmaceuticals, Biotechnology & Life Sciences",48560000.0,38880000.0,19.77,,,1.18,2.13,0.94,5.92
VLS,2019-05-07,"Pharmaceuticals, Biotechnology & Life Sciences",47440000.0,38880000.0,19.32,,,1.15,2.08,0.94,5.92
VLS,2019-05-08,"Pharmaceuticals, Biotechnology & Life Sciences",47440000.0,38880000.0,19.32,,,1.15,2.08,0.94,5.92
VLS,2019-05-09,"Pharmaceuticals, Biotechnology & Life Sciences",47440000.0,38880000.0,19.32,,,1.15,2.08,0.94,5.92
VLS,2019-05-10,"Pharmaceuticals, Biotechnology & Life Sciences",45490000.0,37780000.0,18.52,,,1.11,2.0,0.92,5.75
VLS,2019-05-15,"Pharmaceuticals, Biotechnology & Life Sciences",46880000.0,35590000.0,19.09,,,1.14,2.06,0.87,5.42
VLS,2019-05-20,"Pharmaceuticals, Biotechnology & Life Sciences",47570000.0,37230000.0,19.55,,,1.16,2.11,0.9,5.67
VLS,2019-05-21,"Pharmaceuticals, Biotechnology & Life Sciences",47570000.0,37230000.0,19.55,,,1.16,2.11,0.9,5.67
VLS,2019-05-22,"Pharmaceuticals, Biotechnology & Life Sciences",47570000.0,37230000.0,19.55,,,1.16,2.11,0.9,5.67
VLS,2019-05-23,"Pharmaceuticals, Biotechnology & Life Sciences",46460000.0,37230000.0,19.09,,,1.13,2.06,0.9,5.67
