asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
WAX,2019-05-06,Not Applic,238640000.0,39240000.0,,,,-15.1,1.13,-2.48,
WAX,2019-05-07,Not Applic,237680000.0,39240000.0,,,,-15.04,1.13,-2.48,
WAX,2019-05-08,Not Applic,236730000.0,39240000.0,,,,-14.98,1.12,-2.48,
WAX,2019-05-09,Not Applic,235770000.0,30710000.0,,,,-14.92,1.12,-1.94,
WAX,2019-05-10,Not Applic,235770000.0,30710000.0,,,,-14.92,1.12,-1.94,
WAX,2019-05-13,Not Applic,233860000.0,29770000.0,,,,-14.8,1.11,-1.88,
WAX,2019-05-14,Not Applic,234820000.0,29770000.0,,,,-14.86,1.11,-1.88,
WAX,2019-05-15,Not Applic,233860000.0,27870000.0,,,,-14.8,1.11,-1.76,
WAX,2019-05-16,Not Applic,237680000.0,27870000.0,,,,-15.04,1.13,-1.76,
WAX,2019-05-17,Not Applic,241500000.0,27870000.0,,,,-15.28,1.15,-1.76,
WAX,2019-05-20,Not Applic,255820000.0,35450000.0,,,,-16.18,1.21,-2.24,
WAX,2019-05-21,Not Applic,262500000.0,35450000.0,,,,-16.61,1.25,-2.24,
WAX,2019-05-22,Not Applic,259630000.0,35450000.0,,,,-16.43,1.23,-2.24,
WAX,2019-05-23,Not Applic,263450000.0,35450000.0,,,,-16.67,1.25,-2.24,
WAX,2019-05-27,Not Applic,261540000.0,35450000.0,,,,-16.55,1.24,-2.24,
WAX,2019-05-28,Not Applic,261540000.0,35450000.0,,,,-16.55,1.24,-2.24,
WAX,2019-05-29,Not Applic,261540000.0,35450000.0,,,,-16.55,1.24,-2.24,
WAX,2019-05-30,Not Applic,259630000.0,35450000.0,,,,-16.43,1.23,-2.24,
WAX,2019-06-01,Not Applic,257730000.0,35450000.0,,,,-16.31,1.22,-2.24,
WAX,2019-06-03,Not Applic,255820000.0,35450000.0,,,,-16.18,1.21,-2.24,
WAX,2019-06-04,Not Applic,255820000.0,49670000.0,,,,-16.18,1.21,-3.14,
WAX,2019-06-05,Not Applic,257730000.0,49670000.0,,,,-16.31,1.22,-3.14,
WAX,2019-06-06,Not Applic,259630000.0,49670000.0,,,,-16.43,1.23,-3.14,
