asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
WES,2019-05-06,Retailing,40510000000.0,41770000000.0,7.33,,,0.6,3.59,0.62,8.76
WES,2019-05-07,Retailing,40820000000.0,41770000000.0,7.38,,,0.61,3.61,0.62,8.76
WES,2019-05-08,Retailing,40910000000.0,41770000000.0,7.4,,,0.61,3.62,0.62,8.76
WES,2019-05-09,Retailing,41100000000.0,41440000000.0,7.44,,,0.61,3.64,0.61,8.69
WES,2019-05-10,Retailing,41490000000.0,41440000000.0,7.51,,,0.62,3.67,0.61,8.69
WES,2019-05-13,Retailing,41520000000.0,42020000000.0,7.51,,,0.62,3.68,0.62,8.81
WES,2019-05-14,Retailing,41160000000.0,42020000000.0,7.45,,,0.61,3.64,0.62,8.81
WES,2019-05-15,Retailing,41180000000.0,42060000000.0,7.45,,,0.61,3.65,0.62,8.82
WES,2019-05-16,Retailing,40900000000.0,42060000000.0,7.4,,,0.61,3.62,0.62,8.82
WES,2019-05-17,Retailing,41230000000.0,42060000000.0,7.46,,,0.61,3.65,0.62,8.82
WES,2019-05-20,Retailing,41620000000.0,41760000000.0,7.53,,,0.62,3.69,0.62,8.76
WES,2019-05-21,Retailing,41570000000.0,41760000000.0,7.52,,,0.62,3.68,0.62,8.76
WES,2019-05-22,Retailing,42090000000.0,41760000000.0,7.61,,,0.62,3.73,0.62,8.76
WES,2019-05-23,Retailing,42750000000.0,41760000000.0,7.73,,,0.63,3.79,0.62,8.76
WES,2019-05-27,Retailing,42900000000.0,41760000000.0,7.76,,,0.64,3.8,0.62,8.76
WES,2019-05-28,Retailing,43030000000.0,41760000000.0,7.78,,,0.64,3.81,0.62,8.76
WES,2019-05-29,Retailing,42330000000.0,41760000000.0,7.66,,,0.63,3.75,0.62,8.76
WES,2019-05-30,Retailing,41910000000.0,41760000000.0,7.58,,,0.62,3.71,0.62,8.76
WES,2019-06-01,Retailing,42010000000.0,41760000000.0,7.6,,,0.62,3.72,0.62,8.76
WES,2019-06-03,Retailing,41670000000.0,41760000000.0,7.54,,,0.62,3.69,0.62,8.76
WES,2019-06-04,Retailing,41950000000.0,42200000000.0,7.59,,,0.62,3.72,0.63,8.85
WES,2019-06-05,Retailing,42190000000.0,42200000000.0,7.63,,,0.63,3.74,0.63,8.85
WES,2019-06-06,Retailing,43040000000.0,42200000000.0,7.79,,,0.64,3.81,0.63,8.85
