asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
WGN,2019-05-06,Materials,298550000.0,395770000.0,18.69,,,1.25,4.93,1.65,9.22
WGN,2019-05-07,Materials,292090000.0,381250000.0,18.28,,,1.22,4.83,1.59,8.88
WGN,2019-05-08,Materials,277570000.0,381250000.0,17.37,,,1.16,4.59,1.59,8.88
WGN,2019-05-09,Materials,275150000.0,360270000.0,17.22,,,1.15,4.55,1.51,8.39
WGN,2019-05-10,Materials,270300000.0,360270000.0,16.92,,,1.13,4.47,1.51,8.39
WGN,2019-05-13,Materials,292090000.0,353010000.0,18.28,,,1.22,4.83,1.48,8.22
WGN,2019-05-14,Materials,281600000.0,353010000.0,17.63,,,1.18,4.65,1.48,8.22
WGN,2019-05-15,Materials,274340000.0,364300000.0,17.17,,,1.15,4.53,1.52,8.48
WGN,2019-05-16,Materials,283210000.0,357040000.0,17.73,,,1.18,4.68,1.49,8.31
WGN,2019-05-17,Materials,292090000.0,357040000.0,18.28,,,1.22,4.83,1.49,8.31
WGN,2019-05-20,Materials,306610000.0,374790000.0,19.19,,,1.28,5.07,1.57,8.73
WGN,2019-05-21,Materials,313880000.0,374790000.0,19.65,,,1.31,5.19,1.57,8.73
WGN,2019-05-22,Materials,321140000.0,374790000.0,20.1,,,1.34,5.31,1.57,8.73
WGN,2019-05-23,Materials,314680000.0,374790000.0,19.7,,,1.32,5.2,1.57,8.73
WGN,2019-05-27,Materials,327590000.0,403840000.0,20.51,,,1.37,5.41,1.69,9.4
WGN,2019-05-28,Materials,327590000.0,403840000.0,20.51,,,1.37,5.41,1.69,9.4
WGN,2019-05-29,Materials,327590000.0,403840000.0,20.51,,,1.37,5.41,1.69,9.4
WGN,2019-05-30,Materials,303390000.0,403840000.0,18.99,,,1.27,5.01,1.69,9.4
WGN,2019-06-01,Materials,307420000.0,403840000.0,19.24,,,1.29,5.08,1.69,9.4
WGN,2019-06-03,Materials,300970000.0,390120000.0,18.84,,,1.26,4.97,1.63,9.08
WGN,2019-06-04,Materials,296930000.0,390120000.0,18.59,,,1.24,4.91,1.63,9.08
WGN,2019-06-05,Materials,308230000.0,383670000.0,19.29,,,1.29,5.09,1.6,8.93
WGN,2019-06-06,Materials,296930000.0,383670000.0,18.59,,,1.24,4.91,1.6,8.93
