asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
WOW,2019-05-06,Food & Staples Retailing,42670000000.0,44740000000.0,24.57,,,0.74,3.92,0.78,12.05
WOW,2019-05-07,Food & Staples Retailing,42460000000.0,44740000000.0,24.45,,,0.74,3.9,0.78,12.05
WOW,2019-05-08,Food & Staples Retailing,42850000000.0,44740000000.0,24.68,,,0.74,3.94,0.78,12.05
WOW,2019-05-09,Food & Staples Retailing,43100000000.0,44490000000.0,24.82,,,0.75,3.96,0.77,11.98
WOW,2019-05-10,Food & Staples Retailing,43300000000.0,44490000000.0,24.94,,,0.75,3.98,0.77,11.98
WOW,2019-05-13,Food & Staples Retailing,43540000000.0,44930000000.0,25.07,,,0.76,4.0,0.78,12.1
WOW,2019-05-14,Food & Staples Retailing,43690000000.0,44930000000.0,25.16,,,0.76,4.01,0.78,12.1
WOW,2019-05-15,Food & Staples Retailing,43670000000.0,45170000000.0,25.15,,,0.76,4.01,0.78,12.16
WOW,2019-05-16,Food & Staples Retailing,43890000000.0,45170000000.0,25.28,,,0.76,4.03,0.78,12.16
WOW,2019-05-17,Food & Staples Retailing,44860000000.0,45170000000.0,25.84,,,0.78,4.12,0.78,12.16
WOW,2019-05-20,Food & Staples Retailing,45700000000.0,46500000000.0,26.32,,,0.79,4.2,0.81,12.52
WOW,2019-05-21,Food & Staples Retailing,44300000000.0,46500000000.0,25.51,,,0.77,4.07,0.81,12.52
WOW,2019-05-22,Food & Staples Retailing,44310000000.0,46500000000.0,25.52,,,0.77,4.07,0.81,12.52
WOW,2019-05-23,Food & Staples Retailing,44110000000.0,46500000000.0,25.4,,,0.77,4.05,0.81,12.52
WOW,2019-05-27,Food & Staples Retailing,42390000000.0,46500000000.0,24.41,,,0.74,3.9,0.81,12.52
WOW,2019-05-28,Food & Staples Retailing,40230000000.0,46500000000.0,24.26,,,0.7,3.87,0.81,12.52
WOW,2019-05-29,Food & Staples Retailing,39610000000.0,46500000000.0,23.88,,,0.69,3.81,0.81,12.52
WOW,2019-05-30,Food & Staples Retailing,39480000000.0,46500000000.0,23.8,,,0.68,3.8,0.81,12.52
WOW,2019-06-01,Food & Staples Retailing,39330000000.0,46500000000.0,23.71,,,0.68,3.78,0.81,12.52
WOW,2019-06-03,Food & Staples Retailing,39090000000.0,46500000000.0,23.57,,,0.68,3.76,0.81,12.52
WOW,2019-06-04,Food & Staples Retailing,39470000000.0,42560000000.0,23.79,,,0.68,3.8,0.74,11.46
WOW,2019-06-05,Food & Staples Retailing,39110000000.0,42560000000.0,23.58,,,0.68,3.76,0.74,11.46
WOW,2019-06-06,Food & Staples Retailing,39280000000.0,42560000000.0,23.68,,,0.68,3.78,0.74,11.46
