asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
WPL,2019-05-06,Energy,32520000000.0,35880000000.0,23.46,,,6.21,1.86,6.85,9.47
WPL,2019-05-07,Energy,32670000000.0,35880000000.0,23.57,,,6.24,1.87,6.85,9.47
WPL,2019-05-08,Energy,32620000000.0,35880000000.0,23.52,,,6.22,1.86,6.85,9.47
WPL,2019-05-09,Energy,33170000000.0,35790000000.0,23.92,,,6.33,1.9,6.83,9.45
WPL,2019-05-10,Energy,33450000000.0,35790000000.0,24.13,,,6.38,1.91,6.83,9.45
WPL,2019-05-13,Energy,33600000000.0,36620000000.0,24.23,,,6.41,1.92,6.99,9.67
WPL,2019-05-14,Energy,33390000000.0,36620000000.0,24.09,,,6.37,1.91,6.99,9.67
WPL,2019-05-15,Energy,33900000000.0,36770000000.0,24.45,,,6.47,1.94,7.02,9.71
WPL,2019-05-16,Energy,34420000000.0,36770000000.0,24.83,,,6.57,1.97,7.02,9.71
WPL,2019-05-17,Energy,34820000000.0,36770000000.0,25.12,,,6.65,1.99,7.02,9.71
WPL,2019-05-20,Energy,34680000000.0,38000000000.0,25.02,,,6.62,1.98,7.25,10.03
WPL,2019-05-21,Energy,34660000000.0,38000000000.0,25.0,,,6.61,1.98,7.25,10.03
WPL,2019-05-22,Energy,35010000000.0,38000000000.0,25.25,,,6.68,2.0,7.25,10.03
WPL,2019-05-23,Energy,34630000000.0,38000000000.0,24.98,,,6.61,1.98,7.25,10.03
WPL,2019-05-27,Energy,33500000000.0,38000000000.0,24.17,,,6.39,1.92,7.25,10.03
WPL,2019-05-28,Energy,33730000000.0,38000000000.0,24.33,,,6.44,1.93,7.25,10.03
WPL,2019-05-29,Energy,33760000000.0,38000000000.0,24.35,,,6.44,1.93,7.25,10.03
WPL,2019-05-30,Energy,33500000000.0,38000000000.0,24.17,,,6.39,1.92,7.25,10.03
WPL,2019-06-01,Energy,33160000000.0,38000000000.0,23.92,,,6.33,1.9,7.25,10.03
WPL,2019-06-03,Energy,32360000000.0,38000000000.0,23.34,,,6.18,1.85,7.25,10.03
WPL,2019-06-04,Energy,31920000000.0,35540000000.0,23.02,,,6.09,1.83,6.78,9.38
WPL,2019-06-05,Energy,32020000000.0,35540000000.0,23.09,,,6.11,1.83,6.78,9.38
WPL,2019-06-06,Energy,31890000000.0,35540000000.0,23.0,,,6.08,1.82,6.78,9.38
