asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
WPP,2019-05-06,Media & Entertainment,472610000.0,,7.21,,,,,,
WPP,2019-05-07,Media & Entertainment,472610000.0,,7.21,,,,,,
WPP,2019-05-08,Media & Entertainment,502410000.0,,7.66,,,,,,
WPP,2019-05-09,Media & Entertainment,472610000.0,,7.21,,,,,,
WPP,2019-05-10,Media & Entertainment,472610000.0,,7.21,,,,,,
WPP,2019-05-13,Media & Entertainment,464090000.0,,7.08,,,,,,
WPP,2019-05-14,Media & Entertainment,468350000.0,,7.14,,,,,,
WPP,2019-05-15,Media & Entertainment,459840000.0,,7.01,,,,,,
WPP,2019-05-16,Media & Entertainment,455580000.0,,6.95,,,,,,
WPP,2019-05-17,Media & Entertainment,455580000.0,,6.95,,,,,,
WPP,2019-05-20,Media & Entertainment,464090000.0,,7.08,,,,,,
WPP,2019-05-21,Media & Entertainment,455580000.0,,6.95,,,,,,
WPP,2019-05-22,Media & Entertainment,451320000.0,,6.88,,,,,,
WPP,2019-05-23,Media & Entertainment,451320000.0,,6.88,,,,,,
WPP,2019-05-27,Media & Entertainment,451320000.0,,6.88,,,,,,
WPP,2019-05-28,Media & Entertainment,468350000.0,,7.14,,,,,,
WPP,2019-05-29,Media & Entertainment,447060000.0,,6.82,,,,,,
WPP,2019-05-30,Media & Entertainment,430030000.0,,6.56,,,,,,
WPP,2019-06-01,Media & Entertainment,425770000.0,,6.49,,,,,,
WPP,2019-06-03,Media & Entertainment,408740000.0,,6.23,,,,,,
WPP,2019-06-04,Media & Entertainment,413000000.0,,6.3,,,,,,
WPP,2019-06-05,Media & Entertainment,413000000.0,,6.3,,,,,,
WPP,2019-06-06,Media & Entertainment,417260000.0,,6.36,,,,,,
