asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
XPL,2019-05-06,Diversified Financials,35610000.0,33290000.0,,,,1.81,0.75,1.69,-14.4
XPL,2019-05-07,Diversified Financials,35610000.0,33290000.0,,,,1.81,0.75,1.69,-14.4
XPL,2019-05-08,Diversified Financials,29680000.0,33290000.0,,,,1.51,0.62,1.69,-14.4
XPL,2019-05-09,Diversified Financials,31160000.0,27350000.0,,,,1.58,0.65,1.39,-11.84
XPL,2019-05-10,Diversified Financials,31160000.0,27350000.0,,,,1.58,0.65,1.39,-11.84
XPL,2019-05-15,Diversified Financials,28190000.0,25870000.0,,,,1.43,0.59,1.31,-11.19
XPL,2019-05-20,Diversified Financials,29680000.0,27350000.0,,,,1.51,0.62,1.39,-11.84
XPL,2019-05-21,Diversified Financials,31160000.0,27350000.0,,,,1.58,0.65,1.39,-11.84
XPL,2019-05-22,Diversified Financials,32650000.0,27350000.0,,,,1.66,0.68,1.39,-11.84
XPL,2019-05-23,Diversified Financials,29680000.0,27350000.0,,,,1.51,0.62,1.39,-11.84
XPL,2019-05-27,Diversified Financials,29680000.0,27350000.0,,,,1.51,0.62,1.39,-11.84
XPL,2019-05-28,Diversified Financials,29680000.0,27350000.0,,,,1.51,0.62,1.39,-11.84
XPL,2019-05-29,Diversified Financials,29680000.0,27350000.0,,,,1.51,0.62,1.39,-11.84
XPL,2019-05-30,Diversified Financials,28190000.0,27350000.0,,,,1.43,0.59,1.39,-11.84
XPL,2019-06-01,Diversified Financials,29090000.0,27350000.0,,,,1.48,0.61,1.39,-11.84
