asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
XTD,2019-05-06,Media & Entertainment,3990000.0,2000000.0,30.0,,,1.37,1.2,0.69,2.08
XTD,2019-05-07,Media & Entertainment,3990000.0,2000000.0,30.0,,,1.37,1.2,0.69,2.08
XTD,2019-05-08,Media & Entertainment,3990000.0,2000000.0,30.0,,,1.37,1.2,0.69,2.08
XTD,2019-05-09,Media & Entertainment,3990000.0,1860000.0,30.0,,,1.37,1.2,0.64,1.94
XTD,2019-05-10,Media & Entertainment,3460000.0,1860000.0,26.0,,,1.19,1.04,0.64,1.94
XTD,2019-05-13,Media & Entertainment,3460000.0,1330000.0,26.0,,,1.19,1.04,0.46,1.39
XTD,2019-05-14,Media & Entertainment,3460000.0,1330000.0,26.0,,,1.19,1.04,0.46,1.39
XTD,2019-05-15,Media & Entertainment,3460000.0,1330000.0,26.0,,,1.19,1.04,0.46,1.39
XTD,2019-05-16,Media & Entertainment,3460000.0,1330000.0,26.0,,,1.19,1.04,0.46,1.39
XTD,2019-05-17,Media & Entertainment,3460000.0,1330000.0,26.0,,,1.19,1.04,0.46,1.39
XTD,2019-06-03,Media & Entertainment,3320000.0,1330000.0,25.0,,,1.14,1.0,0.46,1.39
XTD,2019-06-04,Media & Entertainment,3060000.0,1200000.0,23.0,,,1.05,0.92,0.41,1.25
XTD,2019-06-05,Media & Entertainment,3460000.0,1200000.0,26.0,,,1.19,1.04,0.41,1.25
XTD,2019-06-06,Media & Entertainment,3190000.0,1200000.0,24.0,,,1.1,0.96,0.41,1.25
