asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
ZEN,2019-05-06,Utilities,58310000.0,138770000.0,16.08,,,1.44,1.24,3.43,10.26
ZEN,2019-05-07,Utilities,58800000.0,138770000.0,16.22,,,1.45,1.26,3.43,10.26
ZEN,2019-05-08,Utilities,57820000.0,138770000.0,15.95,,,1.43,1.23,3.43,10.26
ZEN,2019-05-09,Utilities,57820000.0,138770000.0,15.95,,,1.43,1.23,3.43,10.26
ZEN,2019-05-10,Utilities,59780000.0,138770000.0,16.49,,,1.48,1.28,3.43,10.26
ZEN,2019-05-13,Utilities,58310000.0,140240000.0,16.08,,,1.44,1.24,3.47,10.37
ZEN,2019-05-14,Utilities,56840000.0,140240000.0,15.68,,,1.41,1.21,3.47,10.37
ZEN,2019-05-15,Utilities,58310000.0,138770000.0,16.08,,,1.44,1.24,3.43,10.26
ZEN,2019-05-16,Utilities,57820000.0,138770000.0,15.95,,,1.43,1.23,3.43,10.26
ZEN,2019-05-17,Utilities,57330000.0,138770000.0,15.81,,,1.42,1.22,3.43,10.26
ZEN,2019-05-20,Utilities,67620000.0,137790000.0,16.22,,,1.67,1.26,3.41,10.19
ZEN,2019-05-21,Utilities,65930000.0,137790000.0,15.81,,,1.63,1.22,3.41,10.19
ZEN,2019-05-22,Utilities,66490000.0,137790000.0,15.95,,,1.64,1.23,3.41,10.19
ZEN,2019-05-23,Utilities,66490000.0,137790000.0,15.95,,,1.64,1.23,3.41,10.19
ZEN,2019-05-27,Utilities,65930000.0,137790000.0,15.81,,,1.63,1.22,3.41,10.19
ZEN,2019-05-28,Utilities,65930000.0,137790000.0,15.81,,,1.63,1.22,3.41,10.19
ZEN,2019-05-29,Utilities,64240000.0,137790000.0,15.41,,,1.59,1.19,3.41,10.19
ZEN,2019-05-30,Utilities,65370000.0,137790000.0,15.68,,,1.62,1.21,3.41,10.19
ZEN,2019-06-01,Utilities,65930000.0,137790000.0,15.81,,,1.63,1.22,3.41,10.19
ZEN,2019-06-03,Utilities,63680000.0,137790000.0,15.27,,,1.57,1.18,3.41,10.19
ZEN,2019-06-04,Utilities,63680000.0,135830000.0,15.27,,,1.57,1.18,3.36,10.05
ZEN,2019-06-05,Utilities,60290000.0,135830000.0,14.46,,,1.49,1.12,3.36,10.05
ZEN,2019-06-06,Utilities,59730000.0,135830000.0,14.32,,,1.48,1.11,3.36,10.05
