asx code,rank,date
KGD,4.441927935736912,2019:04:26
BHP,3.538978399532162,2019:04:26
APC,3.495974041900574,2019:04:26
EQX,3.0222384083955407,2019:04:26
TRM,3.022153566770977,2019:04:26
RIO,2.9684876423331437,2019:04:26
RWD,2.954536449718416,2019:04:26
ANO,2.822175831017241,2019:04:26
WSA,2.661446302322256,2019:04:26
LYC,2.6488213078052305,2019:04:26
DEG,2.630571421727266,2019:04:26
HAW,2.6121481222352774,2019:04:26
NCM,2.596412572137918,2019:04:26
CLV,2.586646302665277,2019:04:26
JHX,2.5775258941757504,2019:04:26
IGO,2.5718329299853107,2019:04:26
KDR,2.57011731733002,2019:04:26
JMS,2.5613281634935916,2019:04:26
AMC,2.5609831434085844,2019:04:26
CXL,2.5552886838907813,2019:04:26
KOR,2.554328717297885,2019:04:26
CAI,2.548029218952479,2019:04:26
BKW,2.5477718160920437,2019:04:26
RVR,2.547648221202342,2019:04:26
KLA,2.544047434621744,2019:04:26
DLX,2.541094904568149,2019:04:26
WGX,2.540257622263163,2019:04:26
SAR,2.5393028089519567,2019:04:26
GCY,2.5384280493801152,2019:04:26
PNR,2.5374403403854275,2019:04:26
AQG,2.536425697494324,2019:04:26
MGX,2.5351909104098382,2019:04:26
NST,2.5339645648081435,2019:04:26
PEC,2.529846878836155,2019:04:26
FMG,2.5297635297368624,2019:04:26
MGL,2.5291690239342097,2019:04:26
ORI,2.5288520593302337,2019:04:26
OGC,2.5283475055564404,2019:04:26
GNG,2.52785662916816,2019:04:26
MIN,2.5273990656848,2019:04:26
IPL,2.5271418438335527,2019:04:26
GXY,2.5263384310080426,2019:04:26
SUH,2.526103066304721,2019:04:26
MMI,2.5251410376899623,2019:04:26
MOY,2.525132957994,2019:04:26
ORA,2.5246571491186485,2019:04:26
MAT,2.52445591690774,2019:04:26
NUF,2.5238660546184044,2019:04:26
EVN,2.5235523257869374,2019:04:26
ABC,2.5228385262089015,2019:04:26
WGN,2.5218906065595705,2019:04:26
PPG,2.521282944150558,2019:04:26
IMD,2.521097685807944,2019:04:26
BLD,2.520871176556068,2019:04:26
LPD,2.520631186984669,2019:04:26
ASL,2.520581005952172,2019:04:26
S32,2.519793295767372,2019:04:26
CRN,2.5193939573490356,2019:04:26
MWY,2.519354206252983,2019:04:26
PGH,2.5189440368901783,2019:04:26
IRC,2.518473275020754,2019:04:26
RRL,2.5182408406424277,2019:04:26
CSR,2.5179404755602084,2019:04:26
MSV,2.517743422443836,2019:04:26
SGM,2.517013111390608,2019:04:26
ILU,2.5164891948672556,2019:04:26
OZL,2.5161280756937625,2019:04:26
SLR,2.5160908485929125,2019:04:26
KLL,2.5157886177509154,2019:04:26
MYE,2.514253432715877,2019:04:26
TIG,2.514023197012726,2019:04:26
RMS,2.5140191989689695,2019:04:26
MLD,2.5137563532257245,2019:04:26
OMH,2.513006405250354,2019:04:26
SBM,2.5127049186766968,2019:04:26
BSL,2.512470577688239,2019:04:26
AGD,2.5122054393258275,2019:04:26
MAH,2.511956034319755,2019:04:26
BCN,2.511695395658561,2019:04:26
SFR,2.5115653996771883,2019:04:26
TLM,2.5113841336655853,2019:04:26
PRU,2.511275478848421,2019:04:26
AGG,2.5111029058272205,2019:04:26
BSE,2.5107083207880994,2019:04:26
CAA,2.5101238316859007,2019:04:26
AMI,2.5093861164962723,2019:04:26
TRY,2.509160905125493,2019:04:26
AIS,2.5090883313040724,2019:04:26
MML,2.508807713068559,2019:04:26
RDM,2.5082217591243827,2019:04:26
BLK,2.507980309601031,2019:04:26
TBR,2.507896219639063,2019:04:26
GBE,2.507892483022754,2019:04:26
HGO,2.507769281945794,2019:04:26
AMG,2.5076998224051503,2019:04:26
ALK,2.5072222599730107,2019:04:26
RGL,2.5070842738622483,2019:04:26
GRR,2.5070279999554863,2019:04:26
AMD,2.5062878123592878,2019:04:26
MRD,2.505805836297103,2019:04:26
GMR,2.5057837316089957,2019:04:26
WCN,2.505723791070255,2019:04:26
MLM,2.5057058676828716,2019:04:26
ARM,2.5056880933730277,2019:04:26
MRR,2.505677065927859,2019:04:26
RAN,2.505589217411913,2019:04:26
PDI,2.5053828905817994,2019:04:26
AL8,2.505348994730881,2019:04:26
TAR,2.5053041258195696,2019:04:26
RLC,2.505188384713679,2019:04:26
VML,2.505165099547035,2019:04:26
WWI,2.5051612771312604,2019:04:26
MNC,2.505132582651232,2019:04:26
MTC,2.505003670037202,2019:04:26
NXM,2.5050007214224723,2019:04:26
CHN,2.5049363520664922,2019:04:26
BPL,2.504834299684836,2019:04:26
SUP,2.5047555073315495,2019:04:26
RDN,2.504726522254023,2019:04:26
CLZ,2.5046324357189578,2019:04:26
BEM,2.5044601631446826,2019:04:26
AZS,2.50443470430207,2019:04:26
CDT,2.504387113807193,2019:04:26
LTR,2.50433092447118,2019:04:26
BSX,2.504327479902295,2019:04:26
SI6,2.5042986759610617,2019:04:26
AVW,2.504280680572646,2019:04:26
MXR,2.504161231269259,2019:04:26
OVL,2.5040954216752436,2019:04:26
PUR,2.50397295947695,2019:04:26
ARS,2.503965953048095,2019:04:26
KMT,2.503918218295702,2019:04:26
VMS,2.5039086899252263,2019:04:26
CGM,2.5039015891001917,2019:04:26
CUL,2.50388465221928,2019:04:26
RXL,2.503881608043976,2019:04:26
TIE,2.5038810132197877,2019:04:26
MZN,2.5038483433724954,2019:04:26
4CE,2.5036579813543103,2019:04:26
PSM,2.5035628395088843,2019:04:26
BDC,2.5035265676564915,2019:04:26
KIN,2.5034009923015788,2019:04:26
AKN,2.5033345150128268,2019:04:26
A1C,2.5033345011037826,2019:04:26
MCT,2.5033075021127162,2019:04:26
PBX,2.5032110564219376,2019:04:26
GPX,2.5031609632619145,2019:04:26
N27,2.503141193589284,2019:04:26
PM8,2.5030924898699913,2019:04:26
IVR,2.503090158479205,2019:04:26
EMU,2.502963670408474,2019:04:26
TKL,2.502908814475348,2019:04:26
LSR,2.502817828053708,2019:04:26
ARD,2.5026967520840424,2019:04:26
FEL,2.5026453520485115,2019:04:26
RXM,2.50255847790224,2019:04:26
BCI,2.5024941251319355,2019:04:26
GML,2.50244386487787,2019:04:26
GBG,2.502414581972432,2019:04:26
MEI,2.5019541668905103,2019:04:26
BAT,2.5019535873856187,2019:04:26
TMT,2.5018942603933016,2019:04:26
MRQ,2.5016800281003895,2019:04:26
TRT,2.50167674707902,2019:04:26
VAL,2.501644381962407,2019:04:26
DKM,2.5015553550160625,2019:04:26
AWV,2.5015010532441115,2019:04:26
SRI,2.5014192337291212,2019:04:26
TAS,2.5013879452863357,2019:04:26
BRB,2.5013160524137787,2019:04:26
CTM,2.5011977206127374,2019:04:26
BMT,2.501005541139318,2019:04:26
LRS,2.5009933341083697,2019:04:26
EAR,2.5009284479955145,2019:04:26
NXE,2.500875229282446,2019:04:26
PMY,2.500540677478308,2019:04:26
LI3,2.5004577399993746,2019:04:26
CG1,2.5003750346782323,2019:04:26
MTH,2.5003677115707448,2019:04:26
EGA,2.5002853101257694,2019:04:26
SVY,2.5001640131526752,2019:04:26
AON,2.5001216934978627,2019:04:26
CHK,2.4997347519576665,2019:04:26
PSC,2.499674522144112,2019:04:26
BSM,2.4992613866489712,2019:04:26
LIT,2.4992604294973066,2019:04:26
DRE,2.499233238686425,2019:04:26
ERX,2.4991432548662935,2019:04:26
GMC,2.499071389707568,2019:04:26
ANL,2.4989870076617184,2019:04:26
PUA,2.4989779231309797,2019:04:26
HZR,2.4988897584510408,2019:04:26
ASN,2.4987811905404973,2019:04:26
BGT,2.4986229437120206,2019:04:26
RTG,2.4983423943372305,2019:04:26
HAV,2.4983317134558356,2019:04:26
VMC,2.4983277014686402,2019:04:26
AQX,2.498197059781109,2019:04:26
SGQ,2.498182674775472,2019:04:26
SRK,2.498073918124672,2019:04:26
CWX,2.497654620421487,2019:04:26
WSI,2.497598832527854,2019:04:26
ELT,2.4974099220373267,2019:04:26
BYH,2.497276747595663,2019:04:26
GBR,2.4972266891035497,2019:04:26
RIM,2.4972111554627006,2019:04:26
CAE,2.4972036180288146,2019:04:26
ARU,2.497191254145363,2019:04:26
DHR,2.4971605835335766,2019:04:26
LIN,2.4971549445585572,2019:04:26
PRX,2.496967581811289,2019:04:26
KAI,2.496804643691101,2019:04:26
AEV,2.4966400001154954,2019:04:26
WRM,2.4965455609817533,2019:04:26
MYL,2.4964801573371043,2019:04:26
CDV,2.4962919544666327,2019:04:26
KRM,2.4962328129775253,2019:04:26
FHS,2.4960935441296126,2019:04:26
POS,2.495998723181061,2019:04:26
ABX,2.495981864192276,2019:04:26
FML,2.495942102160991,2019:04:26
AUR,2.4957575414316775,2019:04:26
STA,2.495608406591316,2019:04:26
MEP,2.495444835281488,2019:04:26
JRV,2.495340049061657,2019:04:26
