asx code,rank,date
GTN,5.0002621536636465,2019:04:26
REA,4.00234362652443,2019:04:26
NWS,3.003915864313543,2019:04:26
BYI,3.0000008409472994,2019:04:26
ESH,2.162165722512708,2019:04:26
CAR,2.0663315669870723,2019:04:26
MRN,2.0519000741612237,2019:04:26
NEC,2.039368379559321,2019:04:26
XTD,2.023303337920794,2019:04:26
EVT,2.0220334119487724,2019:04:26
OML,2.0218366280498685,2019:04:26
DHG,2.012055356168296,2019:04:26
QMS,2.006852747452419,2019:04:26
VRL,2.0060061114954015,2019:04:26
SWM,2.004726551503082,2019:04:26
PRT,2.0046465688766117,2019:04:26
SXL,2.0046021047930562,2019:04:26
IGL,2.003927162387905,2019:04:26
TNY,2.0032179675288813,2019:04:26
HT1,2.0028582354575706,2019:04:26
AAU,2.0016071502577906,2019:04:26
AD1,2.001366428060611,2019:04:26
PCH,2.001188011383828,2019:04:26
EN1,2.001157255743215,2019:04:26
CM8,2.0011178679404176,2019:04:26
IVO,2.001069019009241,2019:04:26
AV1,2.001057758799181,2019:04:26
RXH,2.0010577049352607,2019:04:26
PPL,2.000958782804445,2019:04:26
LAA,2.0008710022980223,2019:04:26
IMS,2.0008075917612267,2019:04:26
KNM,2.0007406861006833,2019:04:26
SW1,2.000724958464198,2019:04:26
RMY,2.000659744155975,2019:04:26
EM1,2.000629816665528,2019:04:26
ICQ,2.000584755099294,2019:04:26
SHO,2.000546110977372,2019:04:26
MWR,2.0005447474157476,2019:04:26
NZM,2.000474296156524,2019:04:26
AER,2.0002619742451757,2019:04:26
IS3,2.0002565951428455,2019:04:26
WPP,2.0001747171867086,2019:04:26
ICI,2.000169885977133,2019:04:26
RCL,2.000164890698483,2019:04:26
ASP,2.0000979855180585,2019:04:26
AB1,2.0000703523155794,2019:04:26
SKT,2.0000680794408554,2019:04:26
FDV,2.000013437968199,2019:04:26
STG,2.0000000000428066,2019:04:26
