asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA,triangle,flag,reactangle,h&s,double_top,triple_top,mean
ANZ,2019-05-10,Banks,large,0.23747829452725133,0.0034910805430068406,,,1.3388200652931255e-05,0.0842527582748245,0.7948953709575143,,1,0,1,,,,
AFG,2019-05-10,Banks,micro,,0.0023067074993373153,,,,,,,1,0,1,,,,
ABA,2019-05-10,Banks,micro,0.0022668905286755392,0.0024928232633425265,,,9.097524299100274e-06,0.03911735205616851,0.8133798351299937,,1,0,1,,,,
BOQ,2019-05-10,Banks,mid,0.042922622137158785,0.0027973763317146894,,,1.061377834895032e-05,0.045135406218655985,0.8216233354470515,,1,0,1,,,,
BEN,2019-05-10,Banks,mid,0.007814831630675926,0.00403250822011291,,,1.0678299797880108e-05,0.046138415245737224,0.7871591629676602,,1,0,1,,,,
BBC,2019-05-10,Banks,micro,0.0001018125924688003,0.06490928266472654,,,1.1291253562713106e-05,0.005015045135406224,0.7883639822447686,,1,0,1,,,,
CBA,2019-05-10,Banks,large,1.0,0.004669813715039846,,,1.7614355557832445e-05,0.14944834503510535,0.8227647431832594,,1,0,1,,,,
CYB,2019-05-10,Banks,mid,0.0,1.0,,,1.0000000000000002,1.0,0.0,,1,0,1,,,,
GMA,2019-05-10,Banks,small,0.003978980445708354,0.0013592090644016942,,,7.645791698180018e-06,0.015045135406218657,0.7913760304375397,1.0,1,0,1,,,,
MOC,2019-05-10,Banks,micro,0.00037276021642392503,,,,1.3549504275255727e-06,0.08124373119358076,0.7838934686112873,0.0,1,0,1,,,,
MYS,2019-05-10,Banks,small,0.004889182421802354,0.0033331641371842375,,,9.807260237327955e-06,0.0732196589769308,0.8203233988585923,,1,0,1,,,,
NAB,2019-05-10,Banks,large,0.5026721417049247,0.003609517847373794,,,1.2904289785957836e-05,0.08726178535606822,0.8097653772986684,,1,0,1,,,,
RMC,2019-05-10,Banks,micro,0.03102498202107293,0.0,,,4.903630118663977e-06,0.08726178535606822,1.0,,1,0,1,,,,
WBC,2019-05-10,Banks,large,0.8183821985558151,0.003784353868105961,,,1.4549586733667459e-05,0.10030090270812438,0.8213379835129995,,1,0,1,,,,
YBR,2019-05-10,Banks,micro,8.539644968567637e-05,,,,0.0,0.0,0.7824984147114775,0.9602094240837696,1,0,1,,,,
