asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA,triangle,flag,reactangle,h&s,double_top,triple_top,mean
AX8,2019-05-10,Materials,micro,0.00012590498668084974,,,,0.2236692004760816,0.0036038441003737316,0.22217677313803025,,1,0,1,,,,
ABC,2019-05-10,Materials,mid,0.013599731363331095,0.08872815812088229,,,0.22364710209082878,0.024159103043246127,0.22217427872052808,0.7936847357354148,1,0,1,,,,
ADY,2019-05-10,Materials,micro,0.0002251785276967711,,,,0.2236483656992307,0.010010678056593699,0.22217678737557306,0.7676413984817707,1,0,1,,,,
ADT,2019-05-10,Materials,micro,0.0006651123901902543,,,,,0.1813934863854778,,,1,0,1,,,,
ANO,2019-05-10,Materials,micro,0.0013129466948524828,0.43884273847035243,,,0.22365491402501436,0.41030432461292043,0.22218146583214393,0.8646512705370827,1,0,1,,,,
AML,2019-05-10,Materials,micro,0.0008421658155331492,,,,,0.02963160704751735,,0.7253287715171604,1,0,1,,,,
AIS,2019-05-10,Materials,micro,0.0005626646113257099,0.004081924949871098,,,0.2236467300939628,0.007074212493326215,0.22217388576434624,0.7867261841120498,1,0,1,,,,
AMN,2019-05-10,Materials,micro,0.0005271694138822656,,,,0.22584661622690308,0.04351308061932728,0.22416631882925803,0.7472201432695393,1,0,1,,,,
A1C,2019-05-10,Materials,micro,0.00015151190760581327,,,,0.22368592852562638,0.01828617191671116,0.22218750255029987,0.7836077550874944,1,0,1,,,,
AQG,2019-05-10,Materials,small,0.008012524358344488,,,,0.22364825055734358,0.018820074746396156,0.22217610682102623,0.8011778751915608,1,0,1,,,,
ALY,2019-05-10,Materials,micro,0.00015094849177337764,,,,0.22353607874047035,0.00387079551521623,0.22206971251103633,0.774154460244485,1,0,1,,,,
AL8,2019-05-10,Materials,micro,0.00014019663963773114,,,,0.2239839983953827,0.004538174052322477,0.22243291222839034,0.7846591111586302,1,0,1,,,,
AJX,2019-05-10,Materials,micro,0.0003532617269371363,,,,0.22364882331442296,0.1688467698878804,0.2221758647827983,0.7764264585338039,1,0,1,,,,
AQX,2019-05-10,Materials,micro,0.00015897716738558527,,,,0.22524081933065537,0.012279765082754938,0.2232497855527063,0.7805962436294951,1,0,1,,,,
ALK,2019-05-10,Materials,micro,0.0003014274703530589,0.03244056144371241,,,0.2236469397112444,0.006273358248798719,0.22217386583178628,0.785701557432553,1,0,1,,,,
AHQ,2019-05-10,Materials,micro,0.0003073902879130026,,,,0.22495563944754088,0.04271222637479978,0.22334585764415127,,1,0,1,,,,
A40,2019-05-10,Materials,micro,0.0014108401957381724,,,,0.22364994520973305,0.01601708489054992,0.22217693259850985,0.7325546170569159,1,0,1,,,,
AGS,2019-05-10,Materials,micro,0.0001600570477310869,,,,0.22367413976780212,0.010678056593699947,0.2221880777470298,0.778814284186892,1,0,1,,,,
AYR,2019-05-10,Materials,micro,0.0001443753070616287,,,,0.22360676404971863,0.012279765082754938,0.22213965016887977,0.7714280622973022,1,0,1,,,,
A4N,2019-05-10,Materials,micro,0.0003949544985373725,,,,0.2242255542650709,0.06567004805125466,0.22268896874100205,0.7672048184183329,1,0,1,,,,
ARS,2019-05-10,Materials,micro,0.00014963385483102783,,,,0.2238446885214294,0.010277629471436197,0.2223327482671387,0.7839285077871628,1,0,1,,,,
AZI,2019-05-10,Materials,micro,0.0001395862724859259,,,,,0.0389749065670048,,0.7843650878506007,1,0,1,,,,
ATC,2019-05-10,Materials,micro,0.00040138682929101254,,,,0.2241543050558115,0.016550987720234916,0.22253029986879194,0.7773174382551055,1,0,1,,,,
AME,2019-05-10,Materials,micro,0.00015263873927068452,,,,0.22364016110168658,0.00787506673785371,0.2221683074950691,0.777629281157561,1,0,1,,,,
AJM,2019-05-10,Materials,micro,0.00198280116829907,,,,0.2237142593345624,0.0392418579818473,0.22226714166982128,0.7459460422680781,1,0,1,,,,
AWC,2019-05-10,Materials,mid,0.029516228629637476,0.07032368948725294,,,0.22484201802383275,0.03937533368926855,0.22328739259831268,,1,0,1,,,,
ANL,2019-05-10,Materials,micro,0.0001490704389985922,,,,0.22372329944887692,0.0,0.2222257332002818,0.7812377490288323,1,0,1,,,,
AMC,2019-05-10,Materials,large,0.10642248975710016,0.19951303351475222,,,0.22364725856570097,0.2487987186332087,0.2221744666560933,0.8011867849887738,1,0,1,,,,
ABR,2019-05-10,Materials,micro,0.0003240110549698535,,,,0.31965850120850714,0.022957821676454885,0.3044071453853644,,1,0,1,,,,
ADN,2019-05-10,Materials,micro,0.0001502442219828331,,,,0.22365217423857287,0.014548852108916176,0.2221768414782358,0.7717042660109057,1,0,1,,,,
AAR,2019-05-10,Materials,micro,0.00023846575107837792,,,,,0.06833956219967965,,0.7425424997327061,1,0,1,,,,
AGG,2019-05-10,Materials,mid,0.014961319625050519,0.0739759381266113,,,0.2236471877091551,0.006006406833956221,0.2221740053597059,0.7875904344417122,1,0,1,,,,
AWV,2019-05-10,Materials,micro,0.00016625462188787877,,,,0.22364693380653228,0.003203416978109984,0.2221741648201855,0.7826187675968496,1,0,1,,,,
ASN,2019-05-10,Materials,micro,0.00024837247946537096,,,,0.22314954447315682,0.10237586759209823,0.22176511736744053,0.7806229730211341,1,0,1,,,,
AZY,2019-05-10,Materials,micro,0.00026734081249070365,,,,0.2238003588949002,0.01588360918312867,0.2222879284823394,0.7699312163655156,1,0,1,,,,
AOP,2019-05-10,Materials,micro,0.0002469639398842819,0.06903466055571471,,,0.22372438296355798,0.02963160704751735,0.22222474511481005,,1,0,1,,,,
AON,2019-05-10,Materials,micro,0.00019081016191819803,,,,0.2236607272141343,0.028697277095568605,0.2221845952440559,0.7818525250365302,1,0,1,,,,
ARU,2019-05-10,Materials,micro,0.0002481846741878924,,,,0.22371030908212844,0.0034703683929524823,0.2222150977557948,0.7802576713354005,1,0,1,,,,
AXE,2019-05-10,Materials,micro,0.00018362661005464384,,,,0.2236735729154349,0.009476775226908703,0.22219639247203707,0.7765957446808511,1,0,1,,,,
ARL,2019-05-10,Materials,micro,0.0002868725613484719,,,,0.22373475459046424,0.014682327816337427,0.2222388288921682,0.7777451085213302,1,0,1,,,,
ADV,2019-05-10,Materials,micro,,,,,,,,,1,0,1,,,,
ARD,2019-05-10,Materials,micro,0.00015695826065269096,,,,0.22364567610284253,,0.22217284357621175,0.7832691827933997,1,0,1,,,,
AXT,2019-05-10,Materials,micro,0.000125495758981224,,,,0.2246408946706492,0.018953550453817403,0.222247545115883,,1,0,1,,,,
ARE,2019-05-10,Materials,micro,0.0001975242005880559,,,,0.22365407850824393,0.04564869193806727,0.22217886890433344,0.7785648098649276,1,0,1,,,,
AGY,2019-05-10,Materials,micro,0.00042490944029519983,,,,0.22383655182807513,0.04498131340096102,0.22234104875460314,0.7403952386043695,1,0,1,,,,
AMD,2019-05-10,Materials,micro,0.00012428873446286942,0.017115439702091093,,,0.224221196587498,0.0022690870261612385,0.2221596567640513,0.7851669695997721,1,0,1,,,,
ARV,2019-05-10,Materials,micro,0.0002575749380618195,,,,0.22364873769609667,0.005205552589428723,0.2221759046479182,0.7727556220820415,1,0,1,,,,
