asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA,triangle,flag,reactangle,h&s,double_top,triple_top,mean
A2B,2019-05-10,Transportation,micro,0.003549940374076587,0.2251422378759144,,,0.028211284513805522,0.004118307749906404,0.04221165279429251,0.28444726005701615,1,0,1,,,,
AIZ,2019-05-10,Transportation,mid,0.054701806511436385,0.08633613293597038,,,,0.006926244852115314,,,1,0,1,,,,
AQZ,2019-05-10,Transportation,small,0.0065173351006952976,0.12354375507992414,,,0.030012004801920768,0.0068794459004118316,0.06064209274673009,0.2477035159961989,1,0,1,,,,
ALX,2019-05-10,Transportation,mid,,0.6204280682741805,,,0.9999999999999999,0.008143017596405842,,,1,0,1,,,,
AIA,2019-05-10,Transportation,mid,0.17493051156562572,0.17772961257111897,,,,0.00912579558217896,,,1,0,1,,,,
AZJ,2019-05-10,Transportation,mid,0.2472555919497865,0.16671182154790937,,,0.09303721488595437,0.007581430175964059,0.2407847800237812,0.35983528666455494,1,0,1,,,,
CLX,2019-05-10,Transportation,micro,0.001604301783066839,0.3148198320238418,,,0.003001200480192076,0.0007487832272557097,0.009512485136741973,0.27146024707000316,1,0,1,,,,
LAU,2019-05-10,Transportation,micro,0.0037261505699216334,0.10096631445859297,,,0.00270108043217287,0.0029951329090228376,0.01426872770511296,0.25910674691162494,1,0,1,,,,
P2P,2019-05-10,Transportation,micro,0.0002502259923940316,,,,0.005402160864345737,0.0022931486334706107,0.015457788347205705,0.0,1,0,1,,,,
QAN,2019-05-10,Transportation,mid,0.2388020111256638,0.08019506908696832,,,0.008703481392557022,0.010248970423062526,0.022592152199762187,0.20747545137789036,1,0,1,,,,
QUB,2019-05-10,Transportation,mid,0.10429614734628949,0.180529215208164,,,0.07893157262905161,0.005615874204417821,0.18192627824019025,0.7332910991447577,1,0,1,,,,
REX,2019-05-10,Transportation,micro,0.0023722626366004733,0.06312652397724194,,,0.00900360144057623,0.0012167727442905282,0.007728894173602851,0.17801710484637312,1,0,1,,,,
SYD,2019-05-10,Transportation,large,0.5104437416074729,0.4084710557211234,,,0.32382953181272506,1.0000000000000002,1.0,0.7386759581881532,1,0,1,,,,
TTI,2019-05-10,Transportation,micro,0.0,0.0,,,0.0,0.0,0.0,0.7453278428888185,1,0,1,,,,
TCL,2019-05-10,Transportation,large,1.0,1.0,,,0.2821128451380552,0.015256458255335083,0.8156956004756243,0.9999999999999999,1,0,1,,,,
VAH,2019-05-10,Transportation,small,0.05244751829167033,,,,0.002400960384153661,0.004913889928865595,0.0089179548156956,0.24548622109597718,1,0,1,,,,
WWG,2019-05-10,Transportation,micro,0.0003419003799978509,0.2573828230831753,,,0.007503001200480192,0.004960688880569077,0.005945303210463732,0.3487488121634463,1,0,1,,,,
